Raw Date,Day,Month,Year,Beta 0,Beta 1,Beta 2,Beta 3,Tau 1,Tau 2,Ext_Error
41402.0,8,5,2013,8.1019,-0.64099,-0.50669,-0.80789,3.9464,1.1606,0
41767.0,8,5,2014,9.07127537346504,-0.532654446384343,-1.91926674583042,-2.32103626359197,0.0156584081228652,1.03396403667095,0
42496.0,6,5,2016,7.8736479841793,-1.10091205935785,-10.0,8.72006922560992,0.999616414458147,1.0,0
42863.0,8,5,2017,7.66000223452824,-1.53854195143194,-0.487337638523786,-0.632705016673802,1.50425980902472,1.50566331753314,0
43228.0,8,5,2018,7.82111867903846,-1.87301084546027,-1.17053871637953,0.913340638035425,0.605221726288525,4.16051601119622,0
40337.0,8,6,2010,8.5082,-3.4062,-8.7043,4.6802,0.95721,1.1425,0
40702.0,8,6,2011,8.7314,-1.1957,0.00023991,-2.8609,0.095225,1.4425,0
41796.0,6,6,2014,8.18765486420022,0.142808949137298,2.09202489723491,-1.92184902395337,6.17889271652612,2.93700512178707,0
43131.0,31,1,2018,7.90108125808591,-1.85209813848171,-10.0,10.7431932819355,2.35383638594777,2.55554413096911,0
41453.0,28,6,2013,8.2942,-0.91425,-1.8583,1.0982,8.1489,7.2273,0
42613.0,31,8,2016,7.26011460567933,-0.872811278002455,-0.000101199589314635,-1.33599487591226,0.307692385672822,1.0,0
40877.0,30,11,2011,9.441,-0.68916,-1.1183,-2.3754,0.66616,3.4259,0
43132.0,1,2,2018,7.87159937605567,-1.82296840353497,1.51619186590203,0.589194952114154,3.92134628198725,3.97547482592133,0
40695.0,1,6,2011,8.7063,-1.4045,-0.00045603,-2.7725,0.060607,1.2277,0
40785.0,30,8,2011,8.7413,-0.62219,-0.00025764,-1.9777,0.40947,2.3177,0
40910.0,2,1,2012,9.0844,-0.54161,-2.2384,-1.375,1.0047,4.2012,0
43557.0,2,4,2019,7.5826,-1.3531,-12.2915,13.7436,5.4266,5.7467,0
41792.0,2,6,2014,8.73461390912761,-0.300637845782684,-0.816011182384934,-1.61641046364959,0.0197079008107733,1.0,0
41519.0,2,9,2013,9.37657334053215,0.713127734153238,5.47924274496437,-2.73494906189023,0.104114236374902,3.02014699940434,0
40911.0,3,1,2012,9.3262,-0.79587,-2.7286,-2.3047,1.0135,6.7816,0
41367.0,3,4,2013,8.4733,-0.63157,-1.7332,-1.0425,0.9836,5.847,0
41458.0,3,7,2013,8.3243,-0.93613,-0.67022,-1.7628,1.2432,6.2063,0
41368.0,4,4,2013,8.4719,-0.66041,-1.5953,-1.1132,1.0193,5.7214,0
42464.0,4,4,2016,8.12191455828802,-1.37133968215939,-1.64949132431627,-0.6043269836869,0.880741019691838,5.69316866740985,0
42828.0,3,4,2017,7.58416882781064,-1.86874603597383,-0.855833094873787,-0.189780113299637,1.57010545953488,1.52205398062709,0
43194.0,4,4,2018,7.50914255390912,-1.60959938678864,1.81278246643493,0.578516444887412,4.14391842318765,4.14626895432911,0
40302.0,4,5,2010,8.7094,-5.3447,0.61835,0.93045,1.8063,1.7777,0
40667.0,4,5,2011,8.6939,-1.448,-10.0,9.9069,1.2425,1.0,0
41761.0,2,5,2014,9.16017440578803,-0.576529901724726,0.409642512213333,-2.70175329100728,0.13793157833428,1.10380572202828,0
