"Date","beta_0","beta_1","beta_2","lambda"
"28/06/13",8.3507744601029,-0.96993047628236,-0.589229958056828,0.0896437968562405
"31/07/13",8.74115959447548,2.04572226350529,-3.78181033176339,0.597215043536175
"30/08/13",9.08114339957432,1.60174750740129,-2.71093919882509,0.716537459580971
"30/09/13",9.37020709541158,0.382110002247411,-3.66043034839897,0.895409284584778
"31/10/13",9.2139955171984,-0.623905122579231,-2.26603455794679,0.597215043536175
"29/11/13",9.31524967963239,-0.597726157235439,-1.76166114341202,0.511959831547153
"31/12/13",9.37827096747207,-0.655987153504581,-2.10553583075072,0.716537459580971
"31/01/14",9.40315137279156,-0.729462100740571,-1.5940395673342,0.511959831547153
"28/02/14",9.38746018247145,-0.32637935609337,-2.15903566244097,0.716537459580971
"28/03/14",9.16901748760881,-0.737891857091231,-1.24969586966097,0.716537459580971
"30/04/14",9.16362557916687,-0.639500968640519,-1.46530582543492,0.716537459580971
"30/05/14",8.79655003478524,-0.389342764271969,-1.11442987943366,0.716537459580971
"30/06/14",8.68927367821453,-0.197110295843846,-1.01957620519364,0.99993395914561
"31/07/14",8.64708651057505,-0.125577822010812,-1.18103197219732,0.99993395914561
"28/08/14",6.62519736638169,1.65459243408899,3.74730053214942,0.060784851560543
"30/09/14",6.3861562173467,1.81122848227637,3.95100326245213,0.060784851560543
"31/10/14",7.64046847586074,0.465562770692479,1.13781166174037,0.0763159713963536
"28/11/14",7.87061461762343,0.151577922599049,0.268240691823203,0.0943788170756022
"31/12/14",7.84837428397368,0.456018730736158,-0.744718028573744,0.99993395914561
"30/01/15",7.64950703129287,0.370430914821596,-0.700713090345772,0.716537459580971
"27/02/15",7.56935807651774,0.459074924330233,-0.469907008823678,0.597215043536175
"31/03/15",7.68196243943414,0.0841115451899514,-0.33763884796912,0.99993395914561
"30/04/15",7.80938943072885,-0.0726782361900973,-0.307070951148055,0.716537459580971
"29/05/15",7.87286816124549,-0.117764539086477,-0.730970297926295,0.99993395914561
"30/06/15",7.93424024431126,-0.453878737077177,0.880419255840311,0.199213058873377
"31/07/15",8.01236454222392,-0.811078883096433,-0.0710707944565953,0.895409284584778
"31/08/15",7.90479186588421,-0.706582118541788,0.696876223267009,0.398268378440568
"30/09/15",7.75461203421858,-0.847348716959673,0.439914556985981,0.511959831547153
"30/10/15",7.7639227327703,-0.840120234831297,0.664975990035007,0.398268378440568
"30/11/15",7.86531029512118,-0.994035023402103,0.966108131235441,0.358476436048096
"31/12/15",8.00865486249302,-1.03374125176583,0.670751424379637,0.275783697809477
"29/01/16",8.31008680329626,-1.12566725976374,-1.52882591212888,0.597215043536175
"29/02/16",8.45908960089801,-1.47474831081345,-0.655543541932112,0.448000466893468
"31/03/16",8.01385166830136,-1.23553384944093,-0.645904762694865,0.597215043536175
"29/04/16",7.87745169594597,-1.26382934202542,-0.847589444941817,0.895409284584778
"31/05/16",7.91872798267512,-1.29026207531746,0.463930156003175,0.298742403004515
"30/06/16",7.79034086593633,-1.2846400938773,0.815891806715777,0.275783697809477
"29/07/16",7.4823155454601,-1.02224565184849,0.0108902614866669,0.398268378440568
"31/08/16",7.26519417899069,-0.822734230929273,0.0598224751356021,0.448000466893468
"30/09/16",7.23101625880809,-0.753639989748101,-0.874382667828203,0.716537459580971
"28/10/16",7.23102047975364,-0.854168519881761,-1.56131768652656,0.99993395914561
"30/11/16",6.86026570185255,-0.880009524935403,-1.58381715830651,0.716537459580971
"30/12/16",7.26832187525273,-1.11378678798656,-1.33859184908294,0.716537459580971
"31/01/17",7.26861774656544,-1.11063318302801,-1.63321372690616,0.716537459580971
"28/02/17",7.60231279734163,-1.72659755537666,-1.31991298109097,0.895409284584778
"31/03/17",7.55681643736254,-1.93821132916948,0.745565092579953,0.298742403004515
"28/04/17",7.63739224950743,-1.48130245649885,-1.20524163818674,0.716537459580971
"31/05/17",7.55287779166095,-1.38422586225047,-0.652549424575649,0.448000466893468
"30/06/17",7.26692601502802,-0.993945758000201,-1.50124982879372,0.716537459580971
"31/07/17",7.3401622880639,-1.12459610882723,-1.87445810499629,0.716537459580971
"31/08/17",7.45900459791491,-1.43533693294704,-1.34648796544647,0.511959831547153
"29/09/17",7.49629196855615,-1.39871232786615,-1.83780587337568,0.716537459580971
"31/10/17",7.70085202975996,-1.65663377413098,-1.53003200021791,0.597215043536175
"30/11/17",7.82511544248949,-1.7845624863674,-1.66684534312678,0.716537459580971
"29/12/17",7.921732701611,-1.91048055114398,1.56416828549855,0.210900419813553
"31/01/18",7.82980305620101,-1.82768313639437,2.17319660245423,0.239029502897819
"28/02/18",7.69255625115223,-1.70750432210056,3.54609876858209,0.188726257062174
"28/03/18",7.53872036378017,-1.58176609331031,2.50847482909848,0.224092021215027
"27/04/18",7.98455166090499,-2.02917830104649,2.27819144752312,0.398268378440568
"31/05/18",7.96803286477651,-1.9834361964749,2.50137121049098,0.511959831547153
"29/06/18",8.02718606378879,-1.72428764811374,2.31495694971459,0.398268378440568
"31/07/18",8.02496249670172,-1.79646573950782,2.02608091733809,0.448000466893468
"31/08/18",8.19728082828853,-1.84137767265201,1.53153172768258,0.597215043536175
"28/09/18",8.22828850451816,-1.35072409212122,1.36067754255809,0.448000466893468
"31/10/18",8.1322962129557,-1.22648198227127,1.21209877327863,0.256074018370629
"30/11/18",7.84415119650975,-1.24983125129452,0.81240676674689,0.325881238664232
"31/12/18",7.63401778339418,-1.10265964809441,0.854329366538759,0.275783697809477
"31/01/19",7.59367905976509,-1.05776677270999,1.67169983302273,0.162985781213178
"28/02/19",7.66783184967072,-1.30713279971593,2.32486763188136,0.14341193363203
"29/03/19",7.27127993326942,-1.05567868594086,2.93386646896284,0.108667939534794
"30/04/19",7.63673458398575,-1.33973966284373,2.03501820964482,0.155920487257292
"31/05/19",7.42371032857486,-1.33273257736654,1.67806821996088,0.14341193363203
"28/06/19",7.3514794818887,-1.45282344154702,0.729245618278098,0.224092021215027
"31/07/19",6.76594095641203,-1.16521678400921,2.03251406905868,0.115684714161186
"30/08/19",6.29881197528042,-1.079379851009,3.97999858898805,0.108667939534794
"30/09/19",6.6252260156305,-1.39292687265952,3.91597118709392,0.112053701929557
"31/10/19",6.63911932119133,-1.73285400000026,3.86410111037312,0.132818192164391
"29/11/19",6.72841972738525,-1.97265109823669,3.8623914997034,0.14341193363203
"31/12/19",7.13524811725143,-2.1757698691038,1.67653299414614,0.275783697809477
