ID,Location,Age,Gender,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,B8,B9
178,7,44,1,1,6,6,3,6,0,1,0,0,0,0,0,0,0
179,7,32,2,2,6,6,2,5,0,0,0,1,0,0,0,0,1
180,7,23,1,1,5,4,3,3,0,0,0,1,1,1,0,0,0
181,7,23,2,2,5,6,1,5,0,0,0,0,0,0,0,0,0
182,7,27,1,1,6,4,3,3,0,0,0,0,0,0,0,0,0
183,1,16,2,1,6,4,2,6,0,0,0,0,0,0,0,0,1
184,1,26,2,3,5,6,3,5,0,0,0,1,1,1,0,0,0
185,1,33,2,1,4,4,5,4,0,0,0,0,0,1,0,0,1
186,1,23,1,1,6,6,6,6,0,1,0,1,1,0,0,0,0
187,1,28,2,3,3,4,4,6,0,1,0,0,0,1,0,1,1
188,4,18,2,5,6,4,2,4,0,0,0,1,1,1,0,0,1
189,5,36,1,2,5,5,4,5,0,0,0,1,1,0,0,0,0
190,5,40,2,1,6,6,5,6,0,0,0,0,0,0,0,0,1
191,5,23,2,1,6,6,5,6,1,0,0,1,1,0,0,0,1
192,5,32,2,3,2,2,4,5,0,0,0,0,0,0,0,0,1
193,5,40,2,3,5,1,6,3,0,1,0,0,0,0,0,0,1
194,5,33,1,2,6,6,5,4,0,0,1,0,0,0,0,0,1
195,5,38,2,1,6,6,6,6,0,0,0,0,0,0,0,0,1
196,5,29,2,1,6,6,3,6,0,0,0,1,1,0,0,0,0
197,5,34,1,1,6,6,6,5,0,1,0,0,0,1,1,0,1
198,5,30,2,4,5,5,2,5,0,1,0,0,0,0,0,0,1
199,4,40,2,4,4,5,5,3,0,1,0,0,0,1,0,0,1
200,3,25,1,5,1,5,5,4,0,1,0,0,0,0,0,0,0
201,3,18,1,1,1,6,4,4,0,0,0,0,0,0,0,0,1
202,3,30,1,1,6,6,6,6,0,1,0,0,1,0,0,0,1
203,1,16,1,2,6,6,5,4,0,1,0,0,0,1,0,0,1
204,1,33,1,1,6,6,3,6,0,0,0,1,1,0,0,0,0
205,1,17,1,1,6,6,4,5,0,0,0,1,1,0,0,0,1
206,1,21,1,2,6,5,2,4,0,1,0,1,0,0,0,0,0
207,1,21,2,2,6,6,4,6,0,0,0,1,1,0,0,0,1
208,1,19,2,1,1,6,6,6,0,0,0,0,0,0,0,0,0
209,1,19,1,1,6,6,6,4,0,0,0,1,0,1,0,0,1
210,1,17,1,1,4,5,4,4,0,0,0,0,0,0,0,0,1
211,1,20,1,2,6,5,5,4,1,0,0,1,1,1,0,0,1
212,1,20,2,2,6,6,3,6,0,0,0,1,0,0,0,0,0
213,6,26,2,3,6,6,4,5,0,0,0,1,1,0,0,0,0
214,6,30,2,4,6,6,3,6,0,0,0,1,1,0,0,0,0
215,6,16,1,4,4,4,4,4,0,0,0,0,0,1,0,0,0
216,6,28,2,1,6,6,4,5,0,0,0,1,1,0,0,0,1
217,6,38,2,1,6,6,1,6,0,0,0,0,0,0,0,0,0
218,6,25,1,2,5,4,6,4,0,0,1,0,0,0,0,0,0
219,6,23,1,1,6,5,5,5,1,0,0,1,0,1,0,0,0
220,6,42,1,2,6,3,3,4,0,0,0,0,0,0,0,0,0
221,6,23,1,1,4,6,1,6,0,0,0,1,1,1,0,0,0
222,6,24,1,1,6,6,6,6,0,0,0,1,1,0,0,0,1
223,2,18,1,2,5,5,5,5,1,0,0,0,0,0,0,0,0
224,2,25,1,1,6,4,5,2,0,1,0,0,0,0,0,0,1
225,2,33,1,6,5,6,5,5,0,0,0,0,0,0,0,0,0
226,2,21,2,6,5,3,5,4,0,0,1,1,0,0,0,0,1
227,2,16,1,1,6,6,1,4,0,0,0,1,0,0,0,0,1
228,4,28,2,3,6,4,1,6,0,0,0,1,1,0,0,0,1
229,2,40,1,1,4,4,4,3,0,1,0,0,0,0,0,0,1
230,2,34,2,3,6,6,3,6,0,0,0,1,1,0,0,0,0
231,2,20,2,1,4,6,6,6,0,0,0,1,1,0,0,0,0
232,2,21,1,2,5,5,3,5,0,1,0,0,0,1,0,0,1
233,2,35,2,1,6,6,6,6,0,0,0,1,1,0,0,0,0
234,2,39,2,2,6,6,2,4,0,1,1,0,0,0,0,0,1
235,6,25,1,2,5,5,4,5,0,1,1,0,0,0,0,0,0
236,6,22,2,1,6,5,2,5,0,1,0,0,1,0,0,0,1
237,6,41,1,2,6,6,3,4,0,0,0,0,1,0,0,0,0
238,6,45,2,2,6,6,3,4,0,0,0,1,1,0,0,0,1
239,6,25,2,1,6,6,2,5,0,1,0,0,0,0,0,0,1
240,6,17,2,4,6,4,3,3,0,0,0,0,0,0,0,0,1
241,6,26,2,4,5,5,5,2,0,0,0,0,0,1,0,0,1
242,6,19,2,2,6,6,1,6,0,0,0,1,0,0,0,0,1
243,1,19,1,1,6,4,2,5,0,1,0,0,0,0,1,0,1
244,1,44,2,1,5,6,3,5,0,1,0,0,0,0,0,0,1
245,1,18,2,3,6,6,3,6,0,0,0,1,0,0,0,0,0
246,1,30,2,1,6,6,6,4,0,0,0,0,0,1,0,0,1
247,1,19,1,1,6,6,1,3,0,0,0,1,1,0,0,0,0
248,4,45,2,1,6,6,5,5,0,1,0,0,0,1,0,0,1
249,4,30,2,3,4,3,4,4,0,0,0,1,1,0,0,0,0
250,4,25,1,1,6,6,6,4,0,1,0,0,0,0,0,0,1
251,4,21,1,1,5,5,2,4,0,1,0,0,0,0,1,0,1
252,4,21,1,3,4,2,4,4,0,0,0,1,0,0,0,0,0
253,4,27,1,1,6,6,2,6,0,1,1,0,0,0,1,0,0
254,4,23,2,2,6,6,2,5,0,1,0,0,0,0,0,0,0
255,4,40,2,1,5,5,4,6,1,0,0,0,0,0,1,0,0
256,2,35,2,2,2,5,3,4,0,0,0,0,0,0,0,0,0
257,2,27,1,2,6,6,4,4,0,1,0,0,0,0,0,0,1
258,2,18,2,1,6,5,2,3,0,1,1,0,0,1,0,0,1
259,2,22,2,2,6,6,2,4,0,1,0,0,0,0,0,0,0
260,2,21,2,2,5,5,6,3,0,0,1,0,0,0,0,0,1
261,2,24,2,1,6,6,6,6,0,0,0,1,1,0,0,0,1
262,2,32,2,1,5,4,4,4,0,1,0,0,0,0,0,0,1
263,2,36,2,2,5,5,5,4,0,0,0,0,0,1,0,0,1
264,2,36,2,1,6,6,3,5,0,0,0,0,0,1,0,0,1
265,2,29,2,2,4,4,4,3,0,1,0,0,0,1,0,0,1
266,2,35,2,3,6,4,4,4,0,0,0,1,0,0,0,0,0
267,2,26,1,1,6,6,3,4,0,0,0,0,0,0,0,0,0
268,2,40,1,1,4,4,4,3,0,0,0,0,0,0,0,0,0
269,2,45,2,2,5,4,2,5,0,1,0,0,0,0,0,0,0
270,2,18,1,2,4,3,3,4,0,1,1,0,0,0,1,0,1
271,2,17,2,3,5,4,2,4,0,0,0,0,0,0,0,0,1
272,2,32,1,3,4,4,3,4,0,0,0,1,0,0,0,0,1
273,2,35,2,3,6,5,4,3,0,0,0,1,0,1,0,0,1
274,2,25,1,1,6,6,1,4,0,1,0,0,0,0,0,0,1
275,2,42,2,1,4,5,1,2,0,0,1,0,0,0,0,0,0
276,7,18,2,3,4,4,1,6,0,1,0,0,0,0,0,0,1
277,7,18,1,2,1,5,1,1,0,1,0,0,0,0,0,0,1
278,7,22,2,5,6,6,6,5,0,0,0,0,1,0,0,0,0
279,7,28,1,1,5,6,2,4,0,0,0,0,0,0,0,0,0
280,7,23,1,1,6,6,2,5,0,0,0,1,1,0,0,0,1
281,5,35,2,1,6,5,4,4,0,0,0,0,0,0,0,0,1
282,5,16,2,6,6,1,3,3,0,1,0,0,0,1,0,0,1
283,1,31,1,1,4,4,4,5,0,0,0,0,0,0,0,0,0
284,1,16,1,2,5,6,2,4,0,1,0,0,0,0,0,0,0
285,1,44,2,1,6,6,5,4,0,0,1,1,0,0,0,0,0
286,1,20,2,4,4,5,3,4,0,1,0,0,0,0,0,0,1
287,1,16,1,4,6,5,4,4,0,0,0,0,0,0,0,0,0
288,1,44,2,1,4,3,3,3,0,0,0,0,0,0,0,0,1
289,1,40,1,1,5,6,4,5,0,1,0,0,0,0,0,0,0
290,1,19,2,1,6,4,6,6,0,0,0,0,0,0,0,1,0
291,1,37,2,2,3,5,5,2,1,1,1,0,0,1,1,0,0
292,1,19,1,4,3,3,4,3,0,0,1,0,0,1,1,0,0
293,1,43,2,1,1,1,6,1,1,1,0,0,0,0,0,0,0
294,5,30,2,4,4,5,4,2,1,0,0,0,0,0,0,0,1
295,5,21,2,2,6,4,4,2,1,0,0,0,0,0,0,0,0
296,5,21,2,6,6,2,5,2,0,0,0,1,0,1,0,0,1
297,5,40,2,5,5,1,1,3,1,0,0,0,0,1,0,0,0
298,4,26,2,5,5,2,5,2,1,1,0,0,0,1,1,1,0
299,4,16,2,1,5,2,1,2,1,0,0,0,0,0,0,0,0
300,5,40,1,5,2,1,6,1,1,0,0,0,0,1,0,1,0
301,4,19,1,4,5,3,4,2,0,0,0,0,0,0,0,0,1
302,5,22,2,1,6,3,1,3,0,0,0,0,0,0,0,0,0
303,5,40,1,3,4,4,4,3,1,0,0,0,0,0,0,0,0
304,5,29,2,6,6,1,1,1,1,1,0,0,0,1,1,1,0
305,2,19,1,1,1,6,6,1,0,0,0,0,0,1,0,0,0
306,2,18,1,4,4,5,5,1,1,1,0,0,0,0,0,0,0
307,2,21,1,4,6,1,6,2,0,1,0,0,0,1,0,0,0
308,2,22,1,1,6,1,6,1,1,1,0,0,0,0,1,0,1
309,2,32,2,2,2,2,5,3,1,0,0,0,0,1,0,0,0
310,4,35,2,5,5,2,5,2,1,0,1,0,0,0,0,1,0
311,4,17,1,1,1,1,6,1,1,0,1,0,0,0,0,0,0
312,6,35,1,5,2,2,5,2,0,0,0,0,1,0,0,0,1
313,6,25,1,2,2,5,6,2,1,1,0,0,0,1,0,0,0
314,6,20,2,5,5,5,6,2,0,0,0,1,1,0,0,0,0
315,6,30,2,2,3,2,5,2,1,0,0,1,0,0,1,0,0
316,6,27,1,3,4,4,4,3,0,0,0,1,0,1,0,0,0
317,5,24,1,3,3,1,5,2,1,0,0,0,1,1,0,1,0
318,5,35,1,1,1,1,5,2,0,1,0,0,0,0,0,0,0
319,5,27,1,2,5,2,4,2,0,0,0,0,1,0,1,1,0
320,5,34,1,2,2,3,4,2,0,1,1,0,0,1,0,0,1
321,5,23,1,1,6,1,6,1,0,0,0,0,1,0,1,0,0
322,5,25,2,5,2,4,5,3,0,1,0,0,0,0,0,0,1
323,5,19,1,6,2,1,6,1,1,1,0,0,0,1,0,0,0
324,5,29,1,2,3,4,6,1,0,0,1,0,1,0,0,0,0
325,5,18,1,3,4,3,3,3,0,0,0,0,0,0,0,0,0
326,5,30,1,4,4,3,4,2,0,0,1,0,0,1,1,1,0
327,5,26,2,3,5,2,1,2,0,0,0,0,0,0,0,1,0
328,5,36,2,6,1,1,1,2,0,0,1,0,0,1,1,0,1
329,6,31,1,6,5,5,6,1,0,0,1,1,0,1,0,0,1
330,6,20,2,1,5,3,5,3,0,0,0,0,0,1,0,0,0
331,6,18,2,3,1,1,6,2,0,0,0,0,0,0,1,0,0
332,6,25,2,3,6,1,6,2,0,1,0,0,0,0,0,0,0
333,2,42,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0
334,2,22,1,3,4,3,4,3,1,0,0,0,0,0,0,1,0
335,2,18,1,4,3,5,4,3,1,0,1,0,0,1,0,0,0
336,2,18,2,6,4,1,6,3,1,1,0,0,0,1,0,1,0
337,2,25,2,4,3,3,4,2,0,1,0,0,0,0,1,0,1
338,2,36,2,4,4,4,4,3,0,0,1,0,0,0,0,0,1
339,2,22,2,3,2,3,5,3,0,0,0,0,0,1,0,0,0
340,2,21,2,1,2,2,3,2,0,0,1,0,0,0,0,0,0
341,2,19,2,5,3,3,5,3,0,0,1,0,0,0,0,1,0
342,2,18,1,1,1,1,6,1,0,1,0,0,0,0,0,0,0
343,2,19,2,4,3,5,5,3,0,0,0,0,0,0,0,0,0
344,2,34,1,1,6,2,6,3,0,0,0,0,0,0,1,0,1
345,2,42,1,4,5,1,5,1,0,0,0,0,0,0,0,0,0
346,3,35,1,2,2,5,5,2,1,0,1,0,0,0,0,0,1
347,3,27,2,1,4,3,4,1,0,0,0,0,0,1,0,0,0
348,3,20,1,3,4,3,4,3,0,1,0,0,0,0,1,0,1
349,3,16,2,1,1,6,6,1,0,0,1,0,1,0,1,1,0
350,3,25,1,6,6,2,6,1,0,1,0,0,0,0,0,0,0
351,3,26,1,2,4,3,4,3,0,0,1,0,0,1,0,0,0
352,1,18,2,1,6,6,6,1,0,0,1,0,0,1,1,1,0
353,1,35,2,2,5,2,5,1,0,1,1,0,0,1,0,0,0
354,1,17,1,3,5,1,4,2,0,0,1,0,1,0,1,1,0
355,1,42,2,3,4,3,4,2,0,1,0,0,0,0,0,0,0
356,1,24,1,6,2,6,5,1,1,1,0,0,0,0,0,0,0
357,7,18,1,1,1,1,6,1,0,0,0,0,0,0,0,1,0
358,7,36,1,4,5,3,5,1,1,1,0,0,0,1,0,0,0
359,7,36,1,6,1,1,6,1,0,0,0,0,0,1,0,1,0
360,7,22,1,1,1,2,6,1,0,1,1,0,0,1,1,0,1
361,7,24,1,6,3,4,5,2,0,1,1,1,0,0,0,0,0
362,4,37,2,3,3,4,4,3,0,0,1,0,0,0,0,1,1
363,4,37,2,1,1,5,5,1,1,1,1,0,0,0,0,0,0
364,4,20,1,5,3,4,5,1,1,0,0,0,0,0,0,0,0
365,4,25,1,2,5,2,3,1,0,0,0,0,0,0,0,0,0
366,4,35,1,3,4,3,5,3,1,0,0,0,0,0,0,0,0
367,4,33,2,3,4,5,4,1,0,0,0,0,0,1,0,1,0
368,4,21,1,2,2,4,5,2,0,0,1,1,1,1,1,0,1
369,4,30,1,3,3,3,5,3,1,0,0,0,0,0,0,0,0
370,4,45,2,2,6,4,4,3,0,0,0,0,1,0,0,1,0
371,4,28,1,5,5,1,5,2,0,0,1,0,0,0,0,0,0
372,4,44,2,4,2,6,5,2,0,0,0,0,0,0,0,0,0
373,4,22,2,5,6,2,5,3,1,0,0,0,0,0,0,0,1
374,4,22,1,4,2,2,4,3,1,1,0,0,0,1,1,0,0
375,4,40,1,5,3,2,1,3,0,0,0,0,0,0,0,0,0
376,4,16,1,3,4,2,2,2,0,1,0,1,0,1,0,0,0
377,4,37,2,1,5,6,6,1,0,0,0,0,0,0,0,0,0
378,4,25,1,4,3,2,4,3,0,0,0,0,0,1,0,0,0
379,4,17,2,4,3,6,4,3,1,0,0,0,0,0,0,0,0
380,4,42,2,2,4,6,4,2,0,1,0,0,0,1,1,1,0
381,4,20,1,3,4,3,5,2,0,0,0,0,0,0,0,1,1
382,4,16,1,1,1,1,6,1,0,0,0,0,0,0,0,1,0
383,4,16,2,3,4,3,2,3,0,1,0,0,0,0,0,0,0
384,4,25,1,3,3,3,3,3,0,1,0,0,0,0,1,0,0
