Date,oil,ex,sensex,
29-May-08,126.7,42.77,16316.26,
30-May-08,127.35,42.59,16415.57,
2-Jun-08,127.75,42.24,16063.18,
3-Jun-08,124.33,42.53,15962.56,
4-Jun-08,122.3,42.63,15514.79,
5-Jun-08,127.93,42.86,15769.72,
6-Jun-08,138.51,42.79,15572.18,
9-Jun-08,134.44,42.89,15066.1,
10-Jun-08,131.38,42.89,14889.25,
11-Jun-08,136.43,42.89,15185.32,
12-Jun-08,136.91,42.81,15250.2,
13-Jun-08,134.84,42.87,15189.62,
16-Jun-08,134.52,42.9,15395.82,
17-Jun-08,133.99,42.92,15696.9,
18-Jun-08,136.54,42.9,15422.31,
19-Jun-08,131.88,42.93,15087.99,
20-Jun-08,134.78,42.97,14571.29,
23-Jun-08,135.98,42.97,14293.32,
24-Jun-08,136.49,42.94,14106.58,
25-Jun-08,133.92,42.82,14220.07,
26-Jun-08,138.91,42.73,14421.82,
27-Jun-08,139.69,42.79,13802.22,
30-Jun-08,139.96,42.95,13461.6,
1-Jul-08,141.06,43.27,12961.68,
2-Jul-08,143.74,43.34,13664.62,
3-Jul-08,145.31,43.3,13094.11,
4-Jul-08,145.31,43.21,13454,
7-Jul-08,141.38,43.12,13525.99,
8-Jul-08,136.06,43.37,13349.65,
9-Jul-08,135.88,43.13,13964.26,
10-Jul-08,141.47,43.16,13926.24,
11-Jul-08,144.96,42.72,13469.85,
14-Jul-08,145.16,42.82,13330.51,
15-Jul-08,138.68,43.17,12676.19,
16-Jul-08,134.63,43.17,12575.8,
17-Jul-08,129.43,42.94,13111.85,
18-Jul-08,128.94,42.78,13635.4,
21-Jul-08,131.43,42.71,13850.04,
22-Jul-08,127.25,42.71,14104.2,
23-Jul-08,123.73,42.33,14942.28,
24-Jul-08,124.62,41.96,14777.01,
25-Jul-08,122.59,42.23,14274.94,
28-Jul-08,124.72,42.3,14349.11,
29-Jul-08,122.21,42.54,13791.54,
30-Jul-08,126.74,42.47,14287.21,
31-Jul-08,124.17,42.49,14355.75,
1-Aug-08,125.03,42.37,14656.69,
4-Aug-08,121.45,42.4,14577.87,
5-Aug-08,118.71,42.28,14961.07,
6-Aug-08,118.57,42,15073.54,
7-Aug-08,119.84,41.89,15117.25,
8-Aug-08,115.42,42.2,15167.82,
11-Aug-08,114.44,42,15503.92,
12-Aug-08,113.1,42.4,15212.13,
13-Aug-08,115.96,42.67,15093.12,
14-Aug-08,115.05,42.82,14724.18,
15-Aug-08,113.46,42.82,14724.18,
18-Aug-08,112.92,43.23,14645.66,
19-Aug-08,114.39,43.23,14543.73,
20-Aug-08,115.48,43.72,14678.23,
21-Aug-08,121.23,43.58,14243.73,
22-Aug-08,114.48,43.38,14401.49,
25-Aug-08,114.85,43.58,14450.35,
26-Aug-08,116.31,44.07,14482.22,
27-Aug-08,118.17,43.73,14296.79,
28-Aug-08,115.58,43.73,14048.34,
29-Aug-08,115.55,43.79,14564.53,
1-Sep-08,115.55,44.21,14498.51,
2-Sep-08,109.63,44.26,15049.86,
3-Sep-08,109.38,44.26,15049.86,
4-Sep-08,107.99,44.45,14899.1,
5-Sep-08,106.47,44.37,14483.83,
8-Sep-08,106.35,44.26,14944.97,
9-Sep-08,103.23,44.89,14900.76,
10-Sep-08,102.66,45.12,14662.61,
11-Sep-08,100.95,45.44,14324.29,
12-Sep-08,101.19,45.77,14000.81,
15-Sep-08,95.52,45.94,13531.27,
16-Sep-08,91.49,46.63,13518.8,
17-Sep-08,97.39,46.34,13262.9,
18-Sep-08,97.5,46.71,13315.6,
19-Sep-08,104.05,46.32,14042.32,
22-Sep-08,122.61,45.4,13994.96,
23-Sep-08,107.85,45.72,13570.31,
24-Sep-08,106.84,45.83,13692.52,
25-Sep-08,111.54,46.25,13547.18,
26-Sep-08,106.77,46.43,13102.18,
29-Sep-08,96.29,46.94,12595.75,
30-Sep-08,100.7,46.94,12860.43,
1-Oct-08,98.23,46.96,13055.67,
2-Oct-08,93.84,46.96,13055.67,
3-Oct-08,93.91,46.88,12526.32,
6-Oct-08,88.15,47.46,11801.7,
7-Oct-08,90.18,48.01,11695.24,
8-Oct-08,88.91,48.74,11328.36,
9-Oct-08,86.5,48.74,11328.36,
10-Oct-08,77.44,48.72,10527.85,
13-Oct-08,81.17,48.14,11309.09,
14-Oct-08,78.69,47.71,11483.4,
15-Oct-08,74.38,48.43,10809.12,
16-Oct-08,69.81,48.86,10581.49,
17-Oct-08,71.9,48.68,9975.35,
20-Oct-08,74.08,48.83,10223.09,
21-Oct-08,71.29,48.83,10683.39,
22-Oct-08,66.92,49.29,10169.9,
23-Oct-08,67.17,49.79,9771.7,
24-Oct-08,63.34,49.95,8701.07,
27-Oct-08,61.92,50.09,8509.56,
28-Oct-08,62.8,50.09,9008.08,
29-Oct-08,67.45,49.77,9044.51,
30-Oct-08,65.79,49.77,9044.51,
31-Oct-08,68.1,49.25,9788.06,
3-Nov-08,63.93,48.96,10337.68,
4-Nov-08,70.41,48.62,10631.12,
5-Nov-08,65.41,47.18,10120.01,
6-Nov-08,60.72,47.67,9734.22,
7-Nov-08,61.06,47.76,9964.29,
10-Nov-08,62.19,47.32,10536.16,
11-Nov-08,59.38,47.59,9839.69,
12-Nov-08,55.95,48.79,9536.33,
13-Nov-08,58.31,48.79,9536.33,
14-Nov-08,57.18,49.46,9385.42,
17-Nov-08,55.14,48.99,9291.01,
18-Nov-08,54.42,49.68,8937.2,
19-Nov-08,53.64,49.74,8773.78,
20-Nov-08,48.86,50.52,8451.01,
21-Nov-08,49.22,50.03,8915.21,
24-Nov-08,53.63,50.09,8903.12,
25-Nov-08,50.02,49.97,8695.53,
26-Nov-08,54.2,49.85,9026.72,
28-Nov-08,55.21,49.84,9092.72,
