Date,Price
2/6/2021,10399.86
2/7/2021,10750.89
2/8/2021,10750.89
2/9/2021,10450.77
2/10/2021,11000.27
2/11/2021,8500.52
2/12/2021,7500.33
2/13/2021,7399.32
2/14/2021,7399.02
2/15/2021,7599.24
2/16/2021,7599.26
2/17/2021,7500.96
2/18/2021,7199.8
2/19/2021,8999.34
2/20/2021,8499.7
2/21/2021,8499.98
2/22/2021,8999.19
2/23/2021,8999.74
2/24/2021,8999.74
2/25/2021,8999.74
2/26/2021,8999.76
2/27/2021,8999.76
2/28/2021,8933.6
3/1/2021,8999.81
3/2/2021,10901.98
3/3/2021,11000.5
3/4/2021,11000.37
3/5/2021,11000.36
3/6/2021,11000.25
3/7/2021,8499.01
3/8/2021,5999.91
3/9/2021,5999.91
3/10/2021,5999.91
3/11/2021,6000.52
3/12/2021,6000.55
3/13/2021,5999.82
3/14/2021,7250.81
3/15/2021,8499.07
3/16/2021,8499.08
3/17/2021,8499.12
3/18/2021,8999.13
3/19/2021,8999.13
3/20/2021,8999.13
3/21/2021,8999.13
3/22/2021,8999.01
3/23/2021,8999.02
3/24/2021,8999.03
3/25/2021,8999.08
3/26/2021,10901.11
3/27/2021,10999.64
3/28/2021,10999.13
3/29/2021,10999.04
3/30/2021,9404.52
3/31/2021,7999.4
4/1/2021,5250.16
4/2/2021,5250.16
4/3/2021,5250.16
4/4/2021,5250.14
4/5/2021,5250.18
4/6/2021,5250.15
4/7/2021,5744.8
4/8/2021,7999.18
4/9/2021,7999.2
4/10/2021,7999.23
4/11/2021,7999.56
4/12/2021,7999.56
4/13/2021,7999.86
4/14/2021,7999.86
4/15/2021,7999.88
4/16/2021,8050.02
4/17/2021,8050.03
4/18/2021,8050.34
4/19/2021,9500.6
4/20/2021,9999.89
4/21/2021,9999.87
4/22/2021,9999.85
4/23/2021,5250.36
4/24/2021,5250.33
4/25/2021,3499.01
4/26/2021,3499.01
4/27/2021,3499.01
4/28/2021,3499.01
4/29/2021,3499.02
4/30/2021,2999.67
5/1/2021,3699.43
5/2/2021,5499.6
5/3/2021,5499.59
5/4/2021,5499.61
5/5/2021,5499.62
5/6/2021,5499.12
5/7/2021,5499.12
5/8/2021,5499.13
5/9/2021,5499.76
5/10/2021,5499.63
5/11/2021,5499.64
5/12/2021,5596
5/13/2021,7000.1
5/14/2021,6999.01
5/15/2021,6491
5/16/2021,6490.01
5/17/2021,4195.18
5/18/2021,3499.38
5/19/2021,3499.58
5/20/2021,3499.58
5/21/2021,3499.53
5/22/2021,3499.53
5/23/2021,3499.54
5/24/2021,2999.76
5/25/2021,3699.73
5/26/2021,6000.26
5/27/2021,6259.37
5/28/2021,6299.26
5/29/2021,8050.22
5/30/2021,8050.22
5/31/2021,8050.2
6/1/2021,8050.21
6/2/2021,8050.21
6/3/2021,6499.16
6/4/2021,6499.23
6/5/2021,6499.74
6/6/2021,8050.82
6/7/2021,8999.33
6/8/2021,8999.26
6/9/2021,8999.26
6/10/2021,4856.79
6/11/2021,3615.2
6/12/2021,4852.62
6/13/2021,4852.62
6/14/2021,3499.98
6/15/2021,3499.98
6/16/2021,3499.98
6/17/2021,3499.96
6/18/2021,3499.4
6/19/2021,6999.46
6/20/2021,6899.82
6/21/2021,7500.19
6/22/2021,8050.23
6/23/2021,8050.28
6/24/2021,8050.39
6/25/2021,8050.53
6/26/2021,8050.53
6/27/2021,7500.84
6/28/2021,7500.87
6/29/2021,8050.38
6/30/2021,8999.58
7/1/2021,9100.37
7/2/2021,9100.35
7/3/2021,9100.34
7/4/2021,6000.01
7/5/2021,4322.5
7/6/2021,2490.5
7/7/2021,2490.5
7/8/2021,2490.5
7/9/2021,2490.5
7/10/2021,2490.5
7/11/2021,2490.5
7/12/2021,3499.06
7/13/2021,5949.79
7/14/2021,5949.89
7/15/2021,6299.62
7/16/2021,7999.14
7/17/2021,7999.39
7/18/2021,7999.4
7/19/2021,7999.42
7/20/2021,7999.54
7/21/2021,7399.11
7/22/2021,7399.13
7/23/2021,7799.78
7/24/2021,9500.01
7/25/2021,9500.02
7/26/2021,9500.02
7/27/2021,8999.99
7/28/2021,3999.88
7/29/2021,2490.5
7/30/2021,2339.83
7/31/2021,2339.83
8/1/2021,2339.83
8/2/2021,2339.83
8/3/2021,2449.8
8/4/2021,2999.06
8/5/2021,3199.4
8/6/2021,5999.28
8/7/2021,5999.15
8/8/2021,5999.61
8/9/2021,7000.61
8/10/2021,7000.77
8/11/2021,7000.78
8/12/2021,7999.47
8/13/2021,7999.72
8/14/2021,7999.75
8/15/2021,7199.54
8/16/2021,7899.52
8/17/2021,9500.34
8/18/2021,9500.23
8/19/2021,9500.23
8/20/2021,9000.21
8/21/2021,8000.35
8/22/2021,2339.83
8/23/2021,3499.09
8/24/2021,3499.09
8/25/2021,3499.09
8/26/2021,3499.09
8/27/2021,3499.76
8/28/2021,3499.76
8/29/2021,4858.33
8/30/2021,5999.39
8/31/2021,5999.1
9/1/2021,5999.85
9/2/2021,6999.26
9/3/2021,6999.26
9/4/2021,6999.28
9/5/2021,7999.81
9/6/2021,7999.78
9/7/2021,7999.81
9/8/2021,7999.69
9/9/2021,8050.06
9/10/2021,9500.6
9/11/2021,9000.82
9/12/2021,9000.82
9/13/2021,8000.84
9/14/2021,6800.45
9/15/2021,2348.83
9/16/2021,4000.37
9/17/2021,4000.37
9/18/2021,4000.37
9/19/2021,4000.37
9/20/2021,4000.37
9/21/2021,4000.37
9/22/2021,2999.66
9/23/2021,6999.39
9/24/2021,5999.06
9/25/2021,6799.87
9/26/2021,6999.5
9/27/2021,6999.54
9/28/2021,6999.83
9/29/2021,7799.45
9/30/2021,7799.29
10/1/2021,7799.31
10/2/2021,7799.32
10/3/2021,8050.76
10/4/2021,9500.53
10/5/2021,9500.57
10/6/2021,9500.57
10/7/2021,9000.53
10/8/2021,6199.09
10/9/2021,2999.42
10/10/2021,2476.26
10/11/2021,2476.26
10/12/2021,2476.26
10/13/2021,2476.26
10/14/2021,2486.89
10/15/2021,2465.64
10/16/2021,2465.64
10/17/2021,5249.32
10/18/2021,5249.54
10/19/2021,5489.22
10/20/2021,5489.41
10/21/2021,5489.55
10/22/2021,5489.56
10/23/2021,5489.63
10/24/2021,5489.63
10/25/2021,5489.64
10/26/2021,5490.12
10/27/2021,5999.06
10/28/2021,7499.38
10/29/2021,5734
10/30/2021,5552.54
10/31/2021,5501.73
11/1/2021,3540.25
11/2/2021,2479.88
11/3/2021,2499.46
11/4/2021,2499.46
11/5/2021,2499.46
11/6/2021,2499.46
11/7/2021,4000.11
11/8/2021,4000.11
11/9/2021,4000.22
11/10/2021,7299.25
11/11/2021,7299.23
11/12/2021,7299.35
11/13/2021,7499.9
11/14/2021,7499.91
11/15/2021,7499.88
11/16/2021,7799.76
11/17/2021,7799.76
11/18/2021,7799.35
11/19/2021,7799.37
11/20/2021,8000.57
11/21/2021,9500.61
11/22/2021,9500.32
11/23/2021,9500.22
11/24/2021,9000.21
11/25/2021,7799.75
11/26/2021,2348.47
11/27/2021,4000.41
11/28/2021,4000.41
11/29/2021,4000.41
11/30/2021,4000.41
12/1/2021,4000.53
12/2/2021,4000.47
12/3/2021,6999.54
12/4/2021,7500.35
12/5/2021,8000.31
12/6/2021,8050.1
12/7/2021,8050.41
12/8/2021,8050.41
12/9/2021,8050.4
12/10/2021,8050.41
12/11/2021,8050.4
12/12/2021,8050.33
12/13/2021,8050.34
12/14/2021,8500.1
12/15/2021,9500.47
12/16/2021,9500.06
12/17/2021,9500.06
12/18/2021,9000.9
12/19/2021,7749.53
12/20/2021,3985.33
