Date,Snp,Gold,Oil
2017-10-13,2553.169922,1301.5,51.450001
2017-10-16,2557.639893,1299.900024,51.869999
2017-10-17,2559.360107,1283,51.880001
2017-10-18,2561.26001,1279.900024,52.040001
2017-10-19,2562.100098,1286.900024,51.290001
2017-10-20,2575.209961,1277.400024,51.470001
2017-10-23,2564.97998,1277.699951,51.900002
2017-10-24,2569.129883,1275,52.470001
2017-10-25,2557.149902,1275.400024,52.18
2017-10-26,2560.399902,1266.300049,52.639999
2017-10-27,2581.070068,1268.5,53.900002
2017-10-30,2572.830078,1274.099976,54.150002
2017-10-31,2575.26001,1267,54.380001
2017-11-01,2579.360107,1274.099976,54.299999
2017-11-02,2579.850098,1274.900024,54.540001
2017-11-03,2587.840088,1266.5,55.639999
2017-11-06,2591.129883,1279.400024,57.349998
2017-11-07,2590.639893,1273.699951,57.200001
2017-11-08,2594.379883,1281.599976,56.810001
2017-11-09,2584.620117,1285.599976,57.169998
2017-11-10,2582.300049,1272.400024,56.740002
2017-11-13,2584.840088,1277.300049,56.759998
2017-11-14,2578.870117,1281.5,55.700001
2017-11-15,2564.620117,1276.5,55.330002
2017-11-16,2585.639893,1277.400024,55.139999
2017-11-17,2578.850098,1295.800049,56.549999
2017-11-20,2582.139893,1274.599976,56.09
2017-11-21,2599.030029,1281.099976,56.830002
2017-11-22,2597.080078,1291.599976,58.02
2017-11-24,2602.419922,1291.599976,58.02
2017-11-27,2601.419922,1293.800049,58.110001
2017-11-28,2627.040039,1294.699951,57.990002
2017-11-29,2626.070068,1282.099976,57.299999
2017-11-30,2647.580078,1273.199951,57.400002
2017-12-01,2642.219971,1278.800049,58.360001
2017-12-04,2639.439941,1274.300049,57.470001
2017-12-05,2629.570068,1261.599976,57.619999
2017-12-06,2629.27002,1262.800049,55.959999
2017-12-07,2636.97998,1249.800049,56.689999
2017-12-08,2651.5,1245.199951,57.360001
2017-12-11,2659.98999,1243.699951,57.990002
2017-12-12,2664.110107,1238.5,57.139999
2017-12-13,2662.850098,1245.400024,56.599998
2017-12-14,2652.01001,1253.800049,57.040001
2017-12-15,2675.810059,1254.300049,57.299999
2017-12-18,2690.159912,1262.199951,57.16
2017-12-19,2681.469971,1260.699951,57.459999
2017-12-20,2679.25,1266.099976,58.09
2017-12-21,2684.570068,1267.300049,58.360001
2017-12-22,2683.340088,1275.400024,58.470001
2017-12-26,2680.5,1284.099976,59.970001
2017-12-27,2682.620117,1287,59.639999
2017-12-28,2687.540039,1294.099976,59.84
2017-12-29,2673.610107,1306.300049,60.419998
2018-01-02,2695.810059,1313.699951,60.369999
2018-01-03,2713.060059,1316.199951,61.630001
2018-01-04,2723.98999,1319.400024,62.009998
2018-01-05,2743.149902,1320.300049,61.439999
2018-01-08,2747.709961,1318.599976,61.73
2018-01-09,2751.290039,1311.699951,62.959999
2018-01-10,2748.22998,1317.400024,63.57
2018-01-11,2767.560059,1320.599976,63.799999
2018-01-12,2786.23999,1333.400024,64.300003
2018-01-16,2776.419922,1335.400024,63.73
2018-01-17,2802.560059,1338,63.970001
2018-01-18,2798.030029,1326,63.950001
2018-01-19,2810.300049,1331.900024,63.369999
2018-01-22,2832.969971,1330.900024,63.490002
2018-01-23,2839.129883,1335.699951,64.470001
2018-01-24,2837.540039,1355.900024,65.610001
2018-01-25,2839.25,1362.400024,65.510002
2018-01-26,2872.870117,1351.599976,66.139999
2018-01-29,2853.530029,1351.5999.76,65.559998
2018-01-30,2822.429932,1335.400024,64.5
2018-01-31,2823.810059,1339,64.730003
2018-02-01,2821.97998,1344.300049,65.800003
2018-02-02,2762.129883,1333.699951,65.449997
2018-02-05,2648.939941,1333,64.150002
2018-02-06,2695.139893,1326.099976,63.389999
2018-02-07,2681.659912,1311.599976,61.790001
2018-02-08,2581,1316.900024,61.150002
2018-02-09,2619.550049,1313.099976,59.200001
2018-02-12,2656,1324.199951,59.290001
2018-02-13,2662.939941,1328.099976,59.189999
2018-02-14,2698.629883,1355.5,60.599998
2018-02-15,2731.199951,1352.099976,61.34
2018-02-16,2732.219971,1353.199951,61.68
2018-02-20,2716.26001,1328.800049,61.900002
2018-02-21,2701.330078,1330,61.68
2018-02-22,2703.959961,1330.599976,62.77
2018-02-23,2747.300049,1328.199951,63.549999
2018-02-26,2779.600098,1330.699951,63.91
2018-02-27,2744.280029,1315.5,63.009998
2018-02-28,2713.830078,1315.5,61.639999
2018-03-01,2677.669922,1302.900024,60.990002
2018-03-02,2691.25,1321.099976,61.25
2018-03-05,2720.939941,1318.099976,62.57
2018-03-06,2728.120117,1333.599976,62.599998
2018-03-07,2726.800049,1326,61.150002
2018-03-08,2738.969971,1319.900024,60.119999
2018-03-09,2786.570068,1322.400024,62.040001
2018-03-12,2783.02002,1319.400024,61.360001
2018-03-13,2765.310059,1325.900024,60.709999
2018-03-14,2749.47998,1324.400024,60.959999
2018-03-15,2747.330078,1316.800049,61.189999
2018-03-16,2752.01001,1311.300049,62.34
2018-03-19,2712.919922,1316.800049,62.060001
2018-03-20,2716.939941,1311.099976,63.400002
2018-03-21,2711.929932,1320.699951,65.169998
2018-03-22,2643.689941,1326.599976,64.300003
2018-03-23,2588.26001,1349.300049,65.879997
2018-03-26,2658.550049,1354.400024,65.550003
