"","w12","w13","w21"
"1970-03-14 05:30:00",0.996588627009414,0.937348332315984,0.00341137299058576
"1970-03-15 05:30:00",0.99692683195115,0.990659609100722,0.00307316804885025
"1970-03-16 05:30:00",0.996438444475823,0.975977586159882,0.00356155552417656
"1970-03-17 05:30:00",0.996340515593365,0.979482248608742,0.00365948440663515
"1970-03-18 05:30:00",0.995053804951718,0.946606480574435,0.00494619504828244
"1970-03-19 05:30:00",0.994859324030091,0.935210225985545,0.0051406759699086
"1970-03-20 05:30:00",0.994937416036527,0.935030954782716,0.00506258396347287
"1970-03-21 05:30:00",0.994971825877341,0.94419109432867,0.00502817412265908
"1970-03-22 05:30:00",0.994929331283471,0.943357539031132,0.00507066871652916
"1970-03-23 05:30:00",0.995281701997663,0.947031330286902,0.00471829800233701
"1970-03-24 05:30:00",0.995310257324113,0.971391316434666,0.00468974267588708
"1970-03-25 05:30:00",0.99587180277898,0.970298064766079,0.00412819722101991
"1970-03-26 05:30:00",0.997103575466912,1.00019156443315,0.00289642453308812
"1970-03-27 05:30:00",0.996908181994357,0.999546851977413,0.00309181800564284
"1970-03-28 05:30:00",0.996920903087519,0.999600087861658,0.00307909691248088
"1970-03-29 05:30:00",0.997642095771895,1.00041784442646,0.00235790422810513
"1970-03-30 05:30:00",0.997642023124628,1.00523949871114,0.00235797687537188
"1970-03-31 05:30:00",0.997558627081999,1.00403057288123,0.00244137291800076
"1970-04-01 05:30:00",0.997540603093324,1.00323395623055,0.00245939690667572
"1970-04-02 05:30:00",0.997440565382573,1.00460077036564,0.00255943461742729
"1970-04-03 05:30:00",0.997477727540588,1.00448228110067,0.00252227245941147
"1970-04-04 05:30:00",0.992690481885983,0.911617778841318,0.00730951811401729
"1970-04-05 05:30:00",0.992776188573674,0.9144621740245,0.00722381142632599
"1970-04-06 05:30:00",0.992438136786499,0.921359408761818,0.0075618632135014
"1970-04-07 05:30:00",0.992552520935396,0.918322101465096,0.00744747906460404
"1970-04-08 05:30:00",0.992664243034211,0.926561261606944,0.00733575696578864
"1970-04-09 05:30:00",0.99273811465074,0.925406417136211,0.00726188534926025
"1970-04-10 05:30:00",0.992732189867518,0.972770746459614,0.00726781013248235
"1970-04-11 05:30:00",0.993216704864466,0.975082673657698,0.00678329513553374
"1970-04-12 05:30:00",0.993343666446181,0.974752957238418,0.00665633355381857
"1970-04-13 05:30:00",0.993555755836194,0.983010144058525,0.00644424416380644
"1970-04-14 05:30:00",0.992777119268913,0.973975368402046,0.00722288073108724
"1970-04-15 05:30:00",0.993364916743916,0.97394384862191,0.00663508325608421
"1970-04-16 05:30:00",0.993418281961169,0.974546902465492,0.00658171803883061
"1970-04-17 05:30:00",0.994023146168133,0.974883989139198,0.00597685383186665
"1970-04-18 05:30:00",0.994075989082089,0.993518055149263,0.00592401091791077
"1970-04-19 05:30:00",0.994895858196214,0.993790825859301,0.00510414180378569
"1970-04-20 05:30:00",0.995347074487154,0.993752171439218,0.00465292551284602
"1970-04-21 05:30:00",0.995450943175902,0.993611206738374,0.00454905682409769
"1970-04-22 05:30:00",0.995187955179109,0.992174730603754,0.0048120448208907
"1970-04-23 05:30:00",0.995295342913772,0.999342106861319,0.00470465708622834
"1970-04-24 05:30:00",0.99632109745955,0.999139977285377,0.00367890254045042
"1970-04-25 05:30:00",0.996339685181039,0.999358956642642,0.00366031481896107
"1970-04-26 05:30:00",0.995323861748847,0.988459341467044,0.00467613825115314
"1970-04-27 05:30:00",0.994953208452598,0.988460063194093,0.00504679154740193
"1970-04-28 05:30:00",0.994970062464142,0.990704115686731,0.00502993753585808
"1970-04-29 05:30:00",0.995094629357107,0.990672258399954,0.00490537064289326
"1970-04-30 05:30:00",0.995615203373599,0.991027042554076,0.00438479662640145
"1970-05-01 05:30:00",0.996121848668884,0.991637508170419,0.00387815133111602
"1970-05-02 05:30:00",0.995216428333024,0.975353293610948,0.00478357166697561
"1970-05-03 05:30:00",0.994460761840259,0.966161873975189,0.00553923815974111
"1970-05-04 05:30:00",0.994020933345606,0.945115821508444,0.00597906665439385
"1970-05-05 05:30:00",0.994180088181727,0.962231282010974,0.00581991181827281
"1970-05-06 05:30:00",0.994163854773262,0.961660771489642,0.00583614522673848
"1970-05-07 05:30:00",0.996874988347063,0.969305059774456,0.00312501165293696
"1970-05-08 05:30:00",0.996205449767944,0.945055039241022,0.00379455023205639
"1970-05-09 05:30:00",0.996525739973178,0.951549848980836,0.00347426002682153
"1970-05-10 05:30:00",0.996595107422374,0.95164382073847,0.00340489257762627
"1970-05-11 05:30:00",0.996603391010725,0.955736936732983,0.00339660898927486
"1970-05-12 05:30:00",0.99644626219736,0.948099509536239,0.00355373780264033
"1970-05-13 05:30:00",0.996439954800247,0.952100432817159,0.00356004519975322
"1970-05-14 05:30:00",0.9972156309918,0.951082514145453,0.00278436900819996
"1970-05-15 05:30:00",0.997293875085695,0.955737081853743,0.00270612491430509
"1970-05-16 05:30:00",0.997389661860465,0.957520971615376,0.00261033813953484
"1970-05-17 05:30:00",0.997221186980319,0.959507458763928,0.00277881301968112
"1970-05-18 05:30:00",0.99722768336431,0.961239943929547,0.00277231663569018
"1970-05-19 05:30:00",0.997413951294896,0.975030874521272,0.00258604870510401
"1970-05-20 05:30:00",0.997387668285522,0.976077354322942,0.00261233171447767
"1970-05-21 05:30:00",0.997317231071646,0.992668567989806,0.0026827689283543
"1970-05-22 05:30:00",0.997361703392735,0.995562191911289,0.0026382966072653
"1970-05-23 05:30:00",0.997454487206791,0.995249215284731,0.00254551279320928
"1970-05-24 05:30:00",0.997412399299012,0.995175937372807,0.00258760070098832
"1970-05-25 05:30:00",0.997411425687894,0.995225665861998,0.00258857431210626
"1970-05-26 05:30:00",0.997446514539274,0.996256490789454,0.00255348546072598
"1970-05-27 05:30:00",0.997444479051818,0.996613730244262,0.0025555209481815
"1970-05-28 05:30:00",0.997420563283704,0.996734414577972,0.00257943671629646
"1970-05-29 05:30:00",0.997417161362051,0.997674016363585,0.00258283863794939
"1970-05-30 05:30:00",0.997374565194147,0.997134798745417,0.00262543480585334
"1970-05-31 05:30:00",0.99729712952964,0.995460382298185,0.00270287047035983
"1970-06-01 05:30:00",0.997581523667311,0.9955704689457,0.00241847633268911
"1970-06-02 05:30:00",0.992747542816304,0.935630583786392,0.00725245718369574
"1970-06-03 05:30:00",0.993009888080071,0.93746413123632,0.00699011191992946
"1970-06-04 05:30:00",0.991552460556733,0.929207344422353,0.00844753944326735
"1970-06-05 05:30:00",0.992704549535142,0.930282607411123,0.00729545046485828
"1970-06-06 05:30:00",0.99279193828016,0.941333307291302,0.00720806171983977
"1970-06-07 05:30:00",0.988906265329686,0.849530938305356,0.0110937346703136
"1970-06-08 05:30:00",0.98890873819148,0.909712018731187,0.0110912618085197
"1970-06-09 05:30:00",0.989211441630431,0.926808084291969,0.0107885583695696
"1970-06-10 05:30:00",0.987872807501382,0.904741684462065,0.012127192498618
"1970-06-11 05:30:00",0.987821889443356,0.909882562650077,0.0121781105566435
"1970-06-12 05:30:00",0.988002283968041,0.923567371137275,0.011997716031959
"1970-06-13 05:30:00",0.988565948763046,0.926224536193585,0.0114340512369544
"1970-06-14 05:30:00",0.989751885787532,0.950099232371794,0.0102481142124676
"1970-06-15 05:30:00",0.990020721045207,0.950863009810673,0.00997927895479274
"1970-06-16 05:30:00",0.989783836416562,0.948545664578302,0.0102161635834377
"1970-06-17 05:30:00",0.989601631340874,0.960807822134219,0.0103983686591265
"1970-06-18 05:30:00",0.989980237643591,0.960421318773856,0.0100197623564087
"1970-06-19 05:30:00",0.988545465605267,0.956438239472983,0.011454534394733
"1970-06-20 05:30:00",0.988612558053,0.959778798475789,0.0113874419470003
"1970-06-21 05:30:00",0.988810637253135,0.959954888083921,0.0111893627468654
"1970-06-22 05:30:00",0.988842436135512,0.978980045437478,0.0111575638644882
"1970-06-23 05:30:00",0.985596792335157,0.960506209844973,0.0144032076648426
"1970-06-24 05:30:00",0.985581048040314,0.958411478442337,0.0144189519596863
"1970-06-25 05:30:00",0.986033159626667,0.967847854644569,0.0139668403733325
"1970-06-26 05:30:00",0.986187961848361,0.969992221511621,0.013812038151639
"1970-06-27 05:30:00",0.986702981932162,0.969733149428558,0.0132970180678376
"1970-06-28 05:30:00",0.988625916469266,0.969504944763316,0.0113740835307338
"1970-06-29 05:30:00",0.988820633889384,0.971000149789694,0.0111793661106158
"1970-06-30 05:30:00",0.989260554679604,0.977692165431538,0.0107394453203958
"1970-07-01 05:30:00",0.992757124069709,0.973571623575196,0.00724287593029069
"1970-07-02 05:30:00",0.992825963811467,0.973825925786427,0.00717403618853272
"1970-07-03 05:30:00",0.992984762898349,0.984960065639311,0.00701523710165107
"1970-07-04 05:30:00",0.993433866325577,0.985225656910945,0.00656613367442317
"1970-07-05 05:30:00",0.994168957466225,0.982096823789521,0.00583104253377499
"1970-07-06 05:30:00",0.994190746834161,0.983697340934921,0.00580925316583925
"1970-07-07 05:30:00",0.993966116980701,0.980121031644609,0.00603388301929906
"1970-07-08 05:30:00",0.994194880900678,0.981691530878106,0.00580511909932201
"1970-07-09 05:30:00",0.994147195826824,0.980559229167715,0.00585280417317602
"1970-07-10 05:30:00",0.994270902494682,0.981684200249237,0.00572909750531835
"1970-07-11 05:30:00",0.993378793196728,0.979504935075734,0.0066212068032722
"1970-07-12 05:30:00",0.993392998181787,0.993015152540461,0.00660700181821279
"1970-07-13 05:30:00",0.994363326171574,0.991647531720365,0.00563667382842576
"1970-07-14 05:30:00",0.99526024287792,0.998419120411569,0.00473975712208028
"1970-07-15 05:30:00",0.99532833963637,0.998841741355156,0.00467166036362987
"1970-07-16 05:30:00",0.995289798459039,0.999923507803381,0.0047102015409605
"1970-07-17 05:30:00",0.995455317160132,1.00153972189976,0.00454468283986834
"1970-07-18 05:30:00",0.995424458456863,1.00196882287458,0.00457554154313666
"1970-07-19 05:30:00",0.996434486454382,1.00188428178777,0.00356551354561777
"1970-07-20 05:30:00",0.996540462330451,1.00185833625549,0.0034595376695489
"1970-07-21 05:30:00",0.996723599513616,1.00326703148784,0.00327640048638383
"1970-07-22 05:30:00",0.996053369942861,0.997245674291934,0.00394663005713905
"1970-07-23 05:30:00",0.995656012490921,0.990124535280948,0.00434398750907884
"1970-07-24 05:30:00",0.995701143842592,0.992708118626232,0.00429885615740793
"1970-07-25 05:30:00",0.995025351835351,0.983649731146339,0.00497464816464917
"1970-07-26 05:30:00",0.995609016719188,0.985782179061031,0.00439098328081155
"1970-07-27 05:30:00",0.994254994008342,0.98642858865318,0.00574500599165763
"1970-07-28 05:30:00",0.994018561074052,0.981615511204379,0.00598143892594847
"1970-07-29 05:30:00",0.994474070171189,0.982136541155803,0.00552592982881115
"1970-07-30 05:30:00",0.9947907658477,0.981209871927522,0.00520923415229942
"1970-07-31 05:30:00",0.99483294530381,0.981325612247038,0.00516705469618994
"1970-08-01 05:30:00",0.995044341859291,0.99281237445163,0.00495565814070849
"1970-08-02 05:30:00",0.995936294234023,1.00592852005671,0.00406370576597748
"1970-08-03 05:30:00",0.996134386847071,1.00561107925137,0.00386561315292939
"1970-08-04 05:30:00",0.996384895661939,1.00526348091905,0.00361510433806091
"1970-08-05 05:30:00",0.995865474984742,0.99912163646896,0.00413452501525853
"1970-08-06 05:30:00",0.996907921955602,0.999144039847476,0.00309207804439828
"1970-08-07 05:30:00",0.996967063135935,0.998720908009011,0.00303293686406478
"1970-08-08 05:30:00",0.996760271600406,1.00383335115021,0.00323972839959396
"1970-08-09 05:30:00",0.996280692157053,0.9940073653117,0.00371930784294682
"1970-08-10 05:30:00",0.995214184016136,0.968174039627127,0.00478581598386373
"1970-08-11 05:30:00",0.996021716479094,0.980451511373474,0.00397828352090609
"1970-08-12 05:30:00",0.996954066977908,0.981185984159345,0.00304593302209243
"1970-08-13 05:30:00",0.996599328117151,0.973780542814,0.00340067188284902
"1970-08-14 05:30:00",0.996833486848221,0.983849667507833,0.00316651315177891
"1970-08-15 05:30:00",0.996820876581036,0.983070667395376,0.00317912341896409
"1970-08-16 05:30:00",0.996818127844087,0.982588820476471,0.00318187215591328
"1970-08-17 05:30:00",0.995667672423379,0.940785821987087,0.00433232757662138
"1970-08-18 05:30:00",0.996211020714778,0.952816031223271,0.00378897928522171
"1970-08-19 05:30:00",0.995376697775851,0.921896440145215,0.0046233022241493
"1970-08-20 05:30:00",0.995365955034713,0.935596356907822,0.00463404496528702
"1970-08-21 05:30:00",0.995502727107314,0.947578138015098,0.00449727289268542
