"","beta12","beta13","beta21","beta23","beta31","beta32"
"1970-08-21 05:30:00",-0.0773937312867788,3.32406171942765,-0.0773937312867788,0.00299555961077492,3.32406171942765,10.5787003612308
"1970-08-22 05:30:00",-0.0757598385072368,3.16998162284713,-0.0757598385072368,0.00291365480371013,3.16998162284713,9.91018856593289
"1970-08-23 05:30:00",-0.0750458815124315,3.08162391855278,-0.0750458815124315,0.00297582411228544,3.08162391855278,9.73220066991908
"1970-08-24 05:30:00",-0.0739622138825853,2.64834211828482,-0.0739622138825853,0.00316460343743983,2.64834211828482,7.92493898446622
"1970-08-25 05:30:00",-0.0735071681955671,2.66350620594452,-0.0735071681955671,0.00317602679006668,2.66350620594452,7.66293551166422
"1970-08-26 05:30:00",-0.0811012112401708,2.89828857374092,-0.0811012112401708,0.00288711790969932,2.89828857374092,7.63800165138553
"1970-08-27 05:30:00",-0.0865867049383567,1.93023762358989,-0.0865867049383567,0.00376225459981588,1.93023762358989,9.38425655909042
"1970-08-28 05:30:00",-0.079626515832811,1.94948391508013,-0.079626515832811,0.00351469006117635,1.94948391508013,9.67450753095505
"1970-08-29 05:30:00",-0.0741687425539988,1.97770180617483,-0.0741687425539988,0.00345726332758936,1.97770180617483,9.92375570524537
"1970-08-30 05:30:00",-0.0837210443773402,1.87854807372155,-0.0837210443773402,0.00350498288185232,1.87854807372155,10.3872110446699
"1970-08-31 05:30:00",-0.0793192304827091,1.91022336218591,-0.0793192304827091,0.0033920311226504,1.91022336218591,10.2871757683299
"1970-09-01 05:30:00",-0.0791738163932622,1.99334178172381,-0.0791738163932622,0.00341827298291496,1.99334178172381,9.53664108855489
"1970-09-02 05:30:00",-0.0765451180963216,2.43339786552503,-0.0765451180963216,0.00373688809484862,2.43339786552503,9.58078341410239
"1970-09-03 05:30:00",-0.0783776366358276,2.27073351746857,-0.0783776366358276,0.00370708328215106,2.27073351746857,8.95322669131018
"1970-09-04 05:30:00",-0.0799917224828884,2.44611430333237,-0.0799917224828884,0.0037453161799312,2.44611430333237,8.66475371239244
"1970-09-05 05:30:00",-0.0756164123348647,1.92672979151096,-0.0756164123348647,0.00330110484911231,1.92672979151096,6.30534798325145
