DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
4208,West Bengal-3-9-2,25.7,0.54,613.917,4,2.25,35,114.29,0,182,7680,0,2298.94
4209,West Bengal-3-9-3,33,0.67,825.333,41,3,39,138.79,0,300,4625,0,10746
4210,West Bengal-3-9-4,39.1,0.82,927.083,24,3.75,45,108.09,0,370,12220,0,14610.522
4211,West Bengal-3-9-5,26.9,0.54,728.667,34,4,35,115.2,30,578,4294.195,0,47613
4212,West Bengal-3-9-6,70.7,1.48,1717.333,25,0,132.5,277.35,0,2137,6743.482,0,195678
4213,West Bengal-3-9-7,72.5,1.49,1917.334,40,22,100,276.42,0,1965,7677.469,0,65427.579
4214,West Bengal-3-9-8,58.4,1.13,1709.667,205,0,80,204.22,40,1402,8044.706,0,119763
4215,West Bengal-3-9-9,52.85,1.07,1344.667,46,14,69,194.97,0,1212,6446.652,0,25455
4216,West Bengal-4-25-1,29.2,0.52,563.666,18,12,30,115,0,250,5200,0,16588
4217,West Bengal-4-25-10,128.72,2.5,2511.668,145.5,48,152,558.1,0,2065,21380,0,390204
4218,West Bengal-4-25-2,29.4,0.54,632.167,57.5,9.5,31,117.22,0,230,5200,0,77864
4219,West Bengal-4-25-3,79.6,1.47,1397.707,98.5,27,78,304.07,9,1755,17141,0,315917
4220,West Bengal-4-25-4,104.8,1.99,1874.834,150,37.5,113,433.58,15,1360,18800,0,205929
4221,West Bengal-4-25-5,88.68,1.84,1750.999,50.5,35,100,394.5,0,395,15060,0,119976
4222,West Bengal-4-25-6,104.14,2,1849.667,53.5,42,103,410.93,15,1630,16800,0,60832
4223,West Bengal-4-25-7,96.46,1.84,1635,103,34,106,370.42,15,2065,14580,0,282429
4224,West Bengal-4-25-8,106.44,2.01,1653,24,39,104,439.21,0,3400,18470,0,658182
4225,West Bengal-4-25-9,105.52,2.05,1744.499,34.5,48,109,387.22,0,2290,16180,0,64179
4229,West Bengal-4-26-3,24.15,0.54,550.166,0,4,40,160.52,0,1200,1715,0,35170
4232,West Bengal-4-26-6,38.7,0.8,687.834,0,6.5,56,227.56,5.15,900,2160,0,29769
4235,West Bengal-4-26-9,51.2,1.06,912.666,0,8.5,72,326,5.7,1525,3400,0,16972
4236,West Bengal-4-27-1,8.8,0.16,190,2,1,10,32.03,0,130,300,0,222
4237,West Bengal-4-27-10,216.1,4.45,4567.7,56,18.5,233,549.57,0,1213.2,12870,0,639240
4238,West Bengal-4-27-2,23.15,0.46,520.25,3.5,2.25,23,72.18,0,265,2400,0,740
4239,West Bengal-4-27-3,46.95,1.01,940.2,28.5,3.2,43,117.3,0,300,3750,0,1905.65
4240,West Bengal-4-27-4,42.75,0.89,919.75,7.5,4,55,120.92,0,330,4350,0,19267.92
4241,West Bengal-4-27-5,96.85,2.02,2046.416,35.5,7.5,115,277.76,0,620,7550,0,31448
4242,West Bengal-4-27-6,36.2,0.81,743.583,5,3.75,44,94.08,0,373,2900,0,987
4243,West Bengal-4-27-7,106.4,2.29,2415.25,143,4.75,117,279.49,36,484,6980,0,25400
4244,West Bengal-4-27-8,130.8,2.67,2614.5,40.5,11,128,284.18,15.6,639.5,5235,0,409786.38
4245,West Bengal-4-27-9,154.2,3.19,3047.75,17.5,14.25,164,387.16,0,750,6860,0,433554
4246,West Bengal-4-28-1,34,0.88,1326.833,0,6.5,47,156.16,0,180,2100,0,9300
4247,West Bengal-4-28-10,178,4,5567.332,0,31,214,680.7,0,840,9800,0,26040
4248,West Bengal-4-28-2,63,1.6,2691,0,11,90,250.82,44,600,7000,0,13720
4249,West Bengal-4-28-3,72,1.76,2715.167,0,12.5,96,296.46,0,480,5600,0,10260
4250,West Bengal-4-28-4,79,1.92,2720.666,0,12.25,104,350.92,0,480,5600,0,11600
4251,West Bengal-4-28-5,136.5,3.2,4489.166,0,24.5,170,479.54,60,600,7000,0,19550
4252,West Bengal-4-28-6,135,3.2,4445.666,0,25,170,449.86,75,600,7000,0,17125
4253,West Bengal-4-28-7,142,3.28,4480.333,0,27,168,560.1,0,480,5600,0,20450
4254,West Bengal-4-28-8,147,3.36,4699.001,0,20,178,533.88,0,600,7000,0,18750
4255,West Bengal-4-28-9,165.9,3.68,5182,0,26,184,607.44,75,600,7000,0,26580
4257,West Bengal-4-29-10,133.1,3,2622.79,3,19.6,144.09,433.52,258.64,22492,4302,0,495750
4258,West Bengal-4-29-2,38.5,0.88,574.46,5,9.66,25.5,198.53,75.84,6632,3324,200,28260
4259,West Bengal-4-29-3,61.2,1.44,1301.903,8,21.42,45,210.36,127.52,9618,2248,0,267225
4260,West Bengal-4-29-4,62.5,1.47,1240.523,1,19.94,31,225.382,160.92,12443,55.5,0,128700
4261,West Bengal-4-29-5,115.5,2.54,1751.867,0,36.96,75,352.99,208.88,18107.5,4479.5,200,537030
4262,West Bengal-4-29-6,139.4,3.01,2514.317,6,43.85,104,483.91,230.28,25689,8896,0,624774
4263,West Bengal-4-29-7,142,3,2670.256,6,24.1,158.07,463.73,278.78,23335,7681,0,1214880
4264,West Bengal-4-29-8,112.8,2.68,2001.811,1,15.95,111.55,358.48,406,19840,102,0,889100
4265,West Bengal-4-29-9,141.2,3,2307.152,6,38.17,109,480.85,410,21869,6396,0,381250
4277,West Bengal-4-31-10,120.8,2.54,2070.834,0,16.5,182,886.56,17.9,1800,1340,0,321385
4279,West Bengal-4-31-3,65.3,1.33,1132.917,0,6,95,474.25,8.4,1050,125,0,36004
4280,West Bengal-4-31-4,58.5,1.27,1026.916,0,5.25,91,452.08,7.95,900,100,0,35168
4281,West Bengal-4-31-5,74,1.53,1335.334,0,8.5,112,544.08,11.3,900,710,0,741947.735
4282,West Bengal-4-31-6,75.7,1.6,1228.82,0,10.82,115,628.88,2.3,900,130,0,339200
4284,West Bengal-4-31-8,93.7,2,1614.638,0,11.49,157,676.52,15.55,900,690,0,327325
4285,West Bengal-4-31-9,123.5,2.51,2108.833,0,0,203,862.86,15.7,1700,1060,0,839020
4286,West Bengal-4-32-1,17,0.4,329.75,0,12.75,18,50.33,0,175,690,0,10167.5
4287,West Bengal-4-32-10,120,3.51,1970.933,0,76.6,110,399.6,0,2940,13115,0,35610
4288,West Bengal-4-32-2,77.2,1.6,1386.9,0,29.9,86,269.06,0,1954,12180,0,30042
4289,West Bengal-4-32-3,95,1.99,1735.05,0,36.05,104,336.45,0,2342,14910,0,25237.5
4290,West Bengal-4-32-4,77.8,1.75,1327.784,0,52.45,85,239.86,0,1366,7700,0,32962.5
4291,West Bengal-4-32-5,109.2,2.38,1896.033,0,74.2,118,291.39,0,1664,13483,0,27066
4292,West Bengal-4-32-6,117.5,2.53,1954.6,0,76.6,125,398.66,0,2940,13115,0,75708
4293,West Bengal-4-32-7,110.5,2.39,1821.367,0,71.7,115,424.73,0,2643,10730,0,37104
4294,West Bengal-4-32-8,113,2.4,1883,0,74,103,387.1,0,1883,10845,0,71586
4295,West Bengal-4-32-9,127,2.64,1966.967,0,79.3,118,485.6,0,3219.5,15385,0,40038
4296,West Bengal-4-33-1,19,0.4,364.333,6,6,17,89.89,0,832,3900,0,7904
4297,West Bengal-4-33-10,172,3.32,2634.166,51,54,125,831.7,0,5319.5,24580,0,249012
4298,West Bengal-4-33-2,12.8,0.26,260.833,4,4,11,59.98,0,545,2600,180,2424
4299,West Bengal-4-33-3,78.5,1.57,1409.334,23,23,62,257.08,0,3105,3350,0,296268
4300,West Bengal-4-33-4,86,1.83,1381.766,27,2.1,96,360.93,160,3638,4100,0,1034803
4301,West Bengal-4-33-5,90.5,1.78,1479.75,26,28.25,67,381.88,65,4110,12070,0,73104
4302,West Bengal-4-33-6,114,2.28,1893.667,34,36.5,89,458.12,0,4859.5,4870,0,243418
4303,West Bengal-4-33-7,140,2.83,2396.334,42,42,108,572.16,0,3269,25800,0,38759
4304,West Bengal-4-33-8,172,3.32,2535.166,51,4,192.5,831.8,0,6288.5,11360,0,913808
4305,West Bengal-4-33-9,168,3.57,2646.32,53,13.2,205,776.75,0,6496,9370,0,898760
4306,West Bengal-4-34-1,14.2,0.26,272,11,4.5,14,52.1,0,140,2000,0,252
4307,West Bengal-4-34-10,134.9,2.72,2751,0,0,220,544.12,0,3305,2815.363,0,629132
4308,West Bengal-4-34-2,28.1,0.52,523,16,10,28,108.54,0,330,4000,0,1262
4310,West Bengal-4-34-4,70.8,1.43,1298,10,14,72,282.77,0,1155,2120,0,172736
4312,West Bengal-4-34-6,69.14,1.36,1337.5,49,10.5,69,258.26,0,755,1795.311,0,208244
4315,West Bengal-4-34-9,78,1.55,1562,77.5,10.5,76,302.5,0,1435,2040,0,351675
4316,West Bengal-4-35-1,42.6,0.73,641.617,0,32.95,48,168.7,38.5,3681.5,3700,0,77546.25
4317,West Bengal-4-35-10,245.3,4.35,3112.479,0,2.03,450.45,1054.05,50.4,20694.5,12780,1401,2513232
4318,West Bengal-4-35-2,91,1.57,1212.583,0,19.6,152.15,405.7,56.5,5829,4700,498,1754886
4319,West Bengal-4-35-3,94.8,1.7,1193.8,0,63.3,111,388.4,21,7873,14850,0,75747.6
4320,West Bengal-4-35-4,109.5,1.89,1194.783,0,52.45,142,488.32,33.3,9971,5790,485,959763
4321,West Bengal-4-35-5,80.75,1.51,1174.268,0,63.6,94,435.43,42,5880.5,3310,206,756153.51
4322,West Bengal-4-35-6,134.7,2.36,1698.118,0,91.75,162,560.31,38.5,10297,23050,1015,68143.5
4323,West Bengal-4-35-7,182,3.11,2196.751,0,82.75,242,786.04,21.3,13437,27150,634.5,149163.75
4324,West Bengal-4-35-8,199.6,3.52,2343.017,0,1.75,362.1,899.16,28.9,14829,7159.144,921,2592390.375
4325,West Bengal-4-35-9,175.9,3.12,1946.483,0,83.15,223,736.924,18.3,15175,6377,420,708255.184
4326,West Bengal-4-36-1,5.9,0.1,101.414,0,2.08,5,25.42,0,436,675,0,4900
4327,West Bengal-4-36-10,178.6,3.46,2105.02,0,43.97,176,462.05,0,20693,9600,461,194073
4328,West Bengal-4-36-2,12.8,0.2,210.09,0,4.09,10,45.88,0,1000,1350,0,2916
4330,West Bengal-4-36-4,100.9,1.8,952.7,0,39.45,80,352.42,21,9521.5,10500,0,41818
4331,West Bengal-4-36-5,96.8,1.73,1020.993,0,29.16,94.25,351.22,200,10473.5,9275,100,107989
4332,West Bengal-4-36-6,100.1,1.93,1311.657,0,2.5,139.49,267.18,25,9269.5,9625,0,824640
4333,West Bengal-4-36-7,119,2,1111.15,0,37.57,87,398.7,180,13929,7875,0,55320
4334,West Bengal-4-36-8,120.6,2.3,1163.08,0,48.5,78,359.22,0,10388.5,14500,0,116160
4335,West Bengal-4-36-9,198.55,3.61,1863.41,0,7.54,210.87,727.14,0,19565.5,17000,300,7696494
4336,West Bengal-4-37-1,15.3,0.24,240.5,0,9,20,60.78,0,1573.5,1800,0,7202
