DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
1239,Bihar-5-41-5,31.6,1.2,877,0,5.95,60,133.6,0,0,1320,0,11691
1240,Bihar-5-41-6,55.5,2.2,1443.668,0,10.85,110,238.6,0,0,2400,0,35620
1241,Bihar-5-41-7,50.8,2,1289.667,0,10.45,100,228.6,0,0,2280,0,35732
1242,Bihar-5-41-8,55.5,2.2,1540.671,0,10.85,110,247.8,0,0,2400,0,35604
1243,Bihar-5-41-9,95.9,3.5,2257.334,0,19.35,175,424,0,0,4800,0,49876
1244,Bihar-5-42-1,18,0.6,310.667,0,3.3,30,60.9,0,0,720,0,42041
1245,Bihar-5-42-10,102,3.6,1747.667,0,17.55,180,344.9,0,0,4320,0,218136
1246,Bihar-5-42-2,19,0.7,379,0,3.85,35,77.4,0,0,1400,0,77288
1247,Bihar-5-42-3,35,1.2,552.667,0,6.6,60,124.1,0,0,2400,0,109920
1248,Bihar-5-42-4,34,1.3,632.667,0,7.15,65,132.8,0,0,2600,0,64236
1249,Bihar-5-42-5,28,1,523.667,0,5.5,50,96.6,0,0,2000,0,66290
1250,Bihar-5-42-6,48,1.8,864.334,0,9.9,90,195.1,0,0,3400,0,226446
1251,Bihar-5-42-7,47,1.7,802.334,0,9.35,85,172.7,0,0,3200,0,127071
1252,Bihar-5-42-8,48,1.8,896.667,0,9.9,90,174.9,0,0,3600,0,130446
1253,Bihar-5-42-9,60,2.15,966.333,0,0,121.85,202.9,0,0,2340,0,824535
1254,Bihar-5-43-10,123.1,5.1,2426,0,0,282.75,218.5,45,0,8049.325,0,721800
1255,Bihar-5-43-3,26.5,1,682.666,0,5.5,50,23,15,0,243.555,0,26472
1256,Bihar-5-43-4,40.7,1.6,1131.999,0,8.8,80,36.8,20,0,6400,0,642
1257,Bihar-5-43-5,38.5,1.5,937.333,0,0,83.25,69,22,0,1030.188,0,989824
1258,Bihar-5-43-6,49.5,2,1215.334,0,11,100,92,29,0,8000,0,18051
1259,Bihar-5-43-7,100.5,4.3,2208.001,0,23.65,225,197.8,33,0,5538,0,16416
1260,Bihar-5-43-8,86,3.5,1728.667,0,19.25,175,161,35,0,6483.855,0,21654
1261,Bihar-5-43-9,135.5,5.5,2817,0,0,305.25,253,60,0,11400.172,0,648429
1262,Bihar-5-45-1,20.6,0.8,554,72,0,40,55.22,16,0,160,0,64366
1263,Bihar-5-45-10,107.3,4,1863.001,0,22.75,164,399.48,20,0,800,0,95676
1264,Bihar-5-45-2,10.25,0.4,289,36,0,20,27.52,7,0,80,0,27503
1265,Bihar-5-45-3,25.8,1,515.666,0,5.55,50,62.08,16,0,200,0,29541
1266,Bihar-5-45-4,35.05,1.4,764.666,0,7.8,70,95.12,14,0,280,0,21028
1267,Bihar-5-45-5,98.28,3.6,1793.334,0,19.5,156,282.48,33,0,720,0,3348
1268,Bihar-5-45-6,89.75,3.2,1386.666,0,0,147.4,247.38,20,0,640,0,1498924
1269,Bihar-5-45-7,79.51,2.8,1075.667,0,15.25,116,234.02,19,0,560,0,3576
1270,Bihar-5-45-8,51.35,2,856.333,0,11.25,100,150.28,11,0,400,0,62634
1271,Bihar-5-45-9,108.3,4,1570.334,0,22.5,164,349.42,20,0,800,0,47488
1292,Chhattisgarh-1-3-1,23,0.5,224.666,36,2.5,7,56,0,246,330,0,101976
1303,Chhattisgarh-2-10-10,215,5.2,2090.999,21,57,187,836.5,0,2964,14550,0,167082
1305,Chhattisgarh-2-10-3,51,1.55,1088.333,118,5.5,96,241,22,2020,6300,770,252692
1306,Chhattisgarh-2-10-4,41,1.1,330,24,12.75,120,167.5,20,2300,2480.182,847,47761
1308,Chhattisgarh-2-10-6,84,2.1,581.667,36,28.75,230,351.7,0,4320,4837.067,1617,146834
1309,Chhattisgarh-2-10-7,171,4.4,1119.332,88,50,485,740.8,20,2535,6368.435,0,282100
1310,Chhattisgarh-2-10-8,159,4.1,1238.666,66,10.25,492.75,483.2,25,8425,5544.5,3157,1143028
1311,Chhattisgarh-2-10-9,170,5.2,1933.332,21,55,188,863.86,20,4875,11400,0,109960
1319,Chhattisgarh-2-11-7,153,5.45,2706.667,112,83.5,560,742.5,25,2624,3300,0,100748
1325,Chhattisgarh-2-12-3,62,1.7,862.334,34,18,190,234,0,945,1798.029,801,109283
1327,Chhattisgarh-2-12-5,77,2.17,512.667,42,23.25,230,298,0,1060,504,0,31346
1328,Chhattisgarh-2-12-6,108,3.15,461.333,62,35.5,330,489,17,5726,732,1484,38140
1329,Chhattisgarh-2-12-7,173,4.77,877.334,0,55.25,510,688,0,8859,1121,2270,58068
1332,Chhattisgarh-2-13-1,17,0.4,416.333,54,1,42,43.6,12,375,85,300,45895
1333,Chhattisgarh-2-13-10,249,6.03,2769,97,72.85,640,497,55,4128,1180,0,76564
1334,Chhattisgarh-2-13-2,20,0.66,611,127,2,70,39,10,1083,140.2,20,54176
1335,Chhattisgarh-2-13-3,36,1,796,100,3,107,78,15,813,212,790,4175
1336,Chhattisgarh-2-13-4,37,0.91,757.667,108,3.25,97,78,12,1795,192,707,11251
1337,Chhattisgarh-2-13-5,141,3.31,1680.667,160,26.7,358,231.5,22,5949,703,3186,43242
1338,Chhattisgarh-2-13-6,101,2.29,1321.333,184,10.75,245,240.6,32,3684,486,1718,38496
1339,Chhattisgarh-2-13-7,149,3.73,1927.333,87,41,386,332.2,31,4446,791,159,29550
1340,Chhattisgarh-2-13-8,200.5,4.96,2136.334,83,55.2,527,472.1,38,4560,951,1007,59664
1341,Chhattisgarh-2-13-9,243.5,6.18,2471.666,101,70.9,652,564.5,30,1850,1312,157,51380
1344,Chhattisgarh-2-14-2,33,0.83,560.333,40,4,30,120,20,1800,1770.588,574,94128
1345,Chhattisgarh-2-14-3,64,1.7,514.333,54,19,175,280,25,2300,1715.942,1176,131570
1348,Chhattisgarh-2-14-6,89,2.3,1238.333,60,22.75,150,380,35,2380,1934.052,1592,94616
1351,Chhattisgarh-2-14-9,246,6.3,1152.334,14,13.5,548.5,830,29,8850,5250,3789,919636
1362,Chhattisgarh-2-4-1,46,1,432,0,15.5,66,220,0,1400,357,330,20572
1363,Chhattisgarh-2-4-10,430,9.4,3992.664,0,116,588,1500,0,14000,2953,0,120624
1364,Chhattisgarh-2-4-2,84,1.76,783.997,0,23,112,376,0,2800,621,620,27276
1365,Chhattisgarh-2-4-3,145,3.3,1635.333,0,36.5,210,417.4,30,4200,1143,0,25798
1366,Chhattisgarh-2-4-4,86,1.96,1119.667,0,23,130,312,25,3151,681,0,22964
1367,Chhattisgarh-2-4-5,134,3.19,1157.334,0,8,349.5,578,30,6000,994,0,1033058
1368,Chhattisgarh-2-4-6,160,3.44,1605.333,0,44,196,555,0,5300,1100,0,52401
1369,Chhattisgarh-2-4-7,302,6.82,3407.334,0,17,417.5,958.8,0,9925,1962,0,1926608
1370,Chhattisgarh-2-4-8,219,5.11,2889.665,0,13,347.5,807.4,0,7675,1515,0,1930436
1371,Chhattisgarh-2-4-9,390,8.5,3892.666,0,100.15,487,1133.69,0,12600,2677,0,109266
1372,Chhattisgarh-2-5-1,11,0.3,193.333,0,3.45,35,19.2,0,0,500,0,12055
1373,Chhattisgarh-2-5-10,68,2,1115.333,0,23.5,70,165,0,1800,1604,0,85500
1374,Chhattisgarh-2-5-3,14,0.45,280,0,6.25,45,48.6,10,0,500,0,2590
1375,Chhattisgarh-2-5-4,31,1,575.333,8,11,35,78,0,0,3000,0,73110
1376,Chhattisgarh-2-5-5,86,2.55,1404,24,30.4,87,243,0,5200,3413.176,682,293500
1377,Chhattisgarh-2-5-6,53,1.6,785,0,18.2,55,133,0,2500,3080,1687,162730
1378,Chhattisgarh-2-5-7,46,1.4,868,0,16.15,53,120.2,0,1700,3196.666,0,211160
1379,Chhattisgarh-2-5-8,31,0.95,493,0,10.1,32,78,0,850,1301.522,0,106770
1380,Chhattisgarh-2-5-9,203,6.1,3299.001,0,17,269.3,485.8,0,3400,1692.282,0,708880
1382,Chhattisgarh-2-6-10,268,9,4696.999,0,121,316,1569.2,20,7470,6949.876,0,734815
1384,Chhattisgarh-2-6-3,42,1.4,1172,24,14.5,55,194.9,50,1050,2310,1566,36637
1385,Chhattisgarh-2-6-4,64,2,1742.334,8,24.25,74,285.22,12,985,1691.191,1092,114181
1386,Chhattisgarh-2-6-5,79,2.6,2045.667,8,0,129.75,433.5,15,1890,5720,2184,1219586
1387,Chhattisgarh-2-6-6,76,2.63,2011.334,0,0,133,356.37,20,4440,2695,3312,1139194
1389,Chhattisgarh-2-6-8,74,2.5,1853.167,8,33.75,98,305,15,2122,1100,2266,102562
1390,Chhattisgarh-2-6-9,382,12.5,10220.667,0,158.2,459,1743.93,35,11150,11027.212,4769,428530
1391,Chhattisgarh-2-7-1,15,0.42,187,6,6,45,78,0,790,95,0,5854
1392,Chhattisgarh-2-7-10,126,3.26,658.333,52,41.75,360,479.5,36,4054,733,2446,60306
1393,Chhattisgarh-2-7-2,28,0.72,296.333,10,13.25,75,94,12,1846,162,540,6353
1394,Chhattisgarh-2-7-3,38,0.96,441,16,11.75,100,133,0,320,216,720,7049
1395,Chhattisgarh-2-7-4,52,1.35,369.001,22,2.25,163.25,227,20,2328,304,1012,453162
1396,Chhattisgarh-2-7-5,79,2.05,580.999,79,21.25,225,332.5,25,3482,461,1538,91581
1397,Chhattisgarh-2-7-6,85,2.32,716.334,42,28.25,245,323.5,30,2307,521,1740,143535
1398,Chhattisgarh-2-7-7,190,4.94,916.335,82,11.5,579.5,780,0,9110,1112,3705,1619886
1399,Chhattisgarh-2-7-8,132,3.39,508,50,44,355,468,0,5802,3224,2544,250171
1400,Chhattisgarh-2-7-9,244,6.32,1191,108,79,685,936,18,10757,1422,0,212555
1402,Chhattisgarh-2-8-10,201,5.15,1994.334,102,49.25,269,415.18,20,6788,8476.431,4222,295560
1404,Chhattisgarh-2-8-3,38,1,366,13,8.5,38,121,0,875,813,0,12231
1405,Chhattisgarh-2-8-4,58,1.5,1145.667,144,3.75,55,142.6,20,1120,2585,0,79336
1406,Chhattisgarh-2-8-5,82,1.95,1053.666,49,19,73,230.88,15,2850,6286.556,0,166040
1407,Chhattisgarh-2-8-6,79,2,1162.334,31,19.25,75,216.28,10,3150,6710,0,107178
1408,Chhattisgarh-2-8-7,181,4.85,1914,164,39.5,335,463.68,12,5176,9154.001,3638,277328
1410,Chhattisgarh-2-8-9,231,6.3,2808.667,186,58.25,417,745.3,16,5642,8538.586,3855,179080
1412,Chhattisgarh-2-9-10,158,5.45,2197,154,8.5,513.5,782.9,25,11627,5225,0,1328041
1415,Chhattisgarh-2-9-4,40,1.02,602,76.5,6,63,169.4,14,1761,1100,530,160190
1416,Chhattisgarh-2-9-5,100,3.03,980.334,113,26.25,330,377.2,25,3825,6380,0,165650
1418,Chhattisgarh-2-9-7,152,4.1,2199.667,192,33.5,159,463.3,28,7725,4042.105,0,286954
1419,Chhattisgarh-2-9-8,130,4.7,1567.334,203,35.75,510,580.5,20,9800,4510,0,276087
1421,Gujarat-1-1-1,4,0.12,153.334,0,0.25,0,21.5,0,0,560,0,64136
1422,Gujarat-1-1-10,75.2,2.4,2544.667,0,0,5,300,0,0,9600,0,673962
1423,Gujarat-1-1-2,3.8,0.12,155.334,0,0.25,0,21.5,0,0,560,0,4406
1424,Gujarat-1-1-3,7.8,0.24,274.667,0,0.5,0,43,0,0,960,0,46867
1425,Gujarat-1-1-4,7.4,0.24,259,0,0.5,0,43,0,0,960,0,4634
1426,Gujarat-1-1-5,23.4,0.72,782,0,0,1.5,109,0,0,2560,0,208622
1427,Gujarat-1-1-6,68.5,2.16,2280.337,0,5.25,0,372.4,0,0,8880,0,185112
1428,Gujarat-1-1-7,14.8,0.48,502.667,0,0,1,86,0,0,480,0,474067
1429,Gujarat-1-1-8,8,0.24,260.334,0,0,0.5,43,0,0,240,0,280231
1430,Gujarat-1-1-9,22.4,0.84,779.667,0,0,1.5,140.5,0,0,3360,0,231980
1431,Gujarat-1-2-1,77,1.68,2268.667,0,7,0,69.6,35,360,1400,0,1280
1432,Gujarat-1-2-10,382.2,7.44,10216.998,0,0,24.5,310,80,680,3370.901,0,3944232
1433,Gujarat-1-2-2,67.2,1.56,1952.333,0,5,0,40,30,460,1950.588,0,4454
1434,Gujarat-1-2-3,178.4,3.6,4695.333,0,0,11,50,70,1610,1400,0,841980
1435,Gujarat-1-2-4,147,3.36,4610,0,0,14,280,75,900,2592.342,0,2368950
1436,Gujarat-1-2-5,333.2,6.72,9029.334,0,0,24,580,140,3400,600,0,3888200
1437,Gujarat-1-2-6,219.8,4.56,5816.333,0,15.5,0,380,80,1190,1400,0,7590
1438,Gujarat-1-2-7,378,8.64,11574,0,30,0,720,240,4080,600,0,36540
1439,Gujarat-1-2-8,315,7.44,10533.998,0,25.5,0,540,160,935,1400,0,7100
1440,Gujarat-1-2-9,1190,24.03,31724.995,0,0,76,3000,770,4680,4380,0,12178842
1441,Gujarat-2-3-10,120,2.37,1087.333,0,3,36,474,0,1800,10781,0,273000
1444,Gujarat-3-11-1,10.4,0.47,560.668,0,7.75,0,69.3,75,0,6000,0,1275
1445,Gujarat-3-11-10,18,1.64,1604.334,31,14.25,0,215.7,75,0,2212.755,0,481140
1446,Gujarat-3-11-3,23.7,1.18,1590.001,22,17,0,149.66,117,0,3240,0,662886.798
1447,Gujarat-3-11-4,8.6,0.47,409.333,0,5.5,0,62.4,50,0,3600,0,4776
1449,Gujarat-3-11-6,24.8,1.39,1573,17,18,0,273.86,104,0,2394.953,0,856142
1450,Gujarat-3-11-7,9,0.5,715,8,5.5,0,89.5,43,0,7700,0,89938.304
1451,Gujarat-3-11-8,8.6,0.48,708,11,3.5,0,94.46,16,0,3871.082,0,75172
1452,Gujarat-3-12-1,12,0.32,341.334,0,5,0,29.9,30,375,471,0,2040
1453,Gujarat-3-12-10,236.55,6.8,6516.001,0,5,77,1198.8,160,13890,24453.325,0,11698687
1454,Gujarat-3-12-2,21.2,0.72,921.333,0,8.75,0,97.4,30,320,1059,0,2805
1455,Gujarat-3-12-3,54,1.58,1832.334,0,1.5,21.25,199.9,97.5,0,1494.134,0,1808880
1456,Gujarat-3-12-4,32.7,1.24,1302.333,0,18,0,198.3,30,0,1741.524,0,301920
1457,Gujarat-3-12-5,77.5,2.4,2871.003,0,31.75,0,439.72,45,1280,3724.449,0,764160
1458,Gujarat-3-12-6,71,2.28,2972.332,0,0,28.5,444.8,45,0,3148,0,1141860
1459,Gujarat-3-12-7,61.9,1.82,2429.334,0,19.75,0,280.2,45,0,3894,0,66310
1460,Gujarat-3-12-8,65.6,2.02,2788.001,0,26.25,0,316.8,60,560,3367.695,0,602719
1461,Gujarat-3-12-9,75.5,3,3110.668,0,38.5,0,439,165,0,3995.672,0,373725
1462,Gujarat-3-7-1,13.6,0.46,424,0,9.3,0,92,17,876,360,0,760
1463,Gujarat-3-7-10,279,7.76,1952.666,0,37.5,40.5,1052.8,0,6134,5867,0,1472445
1464,Gujarat-3-7-2,28,0.82,392,0,10.55,0,62,24,989,1430,0,710
1465,Gujarat-3-7-3,7.7,0.22,163,0,3.6,0,46,0,150,300,0,1149
1466,Gujarat-3-7-4,70.8,1.92,1021.334,53,26.15,0,224.9,41,560,3372.354,0,424724
1467,Gujarat-3-7-5,43,1.14,446.333,0,12.1,2,89.53,0,1127,850.555,0,447798
1468,Gujarat-3-7-6,195.4,6.4,2138.665,0,59.2,0,770.5,0,5327,6338,0,6512
1469,Gujarat-3-7-7,229.2,7.72,2275.332,0,28.15,60.8,976.3,0,9049,6673,0,69200
1470,Gujarat-3-7-8,152,5.64,1754,0,8.35,54.25,660.1,0,1783,13602.728,0,1695724
1474,Gujarat-3-8-3,12.4,0.68,716.001,16,13.25,0,47.8,105,0,120,0,159006
1488,Gujarat-4-13-1,39,0.96,716.334,0,9,0,130,0,192,2976,0,39990
1489,Gujarat-4-13-10,172,4.32,3417.332,0,0,33.5,585,0,1243,12432,0,2694360
1490,Gujarat-4-13-2,50,1.2,837,0,9,0,162.5,0,240,2952,0,100442
1491,Gujarat-4-13-3,47,1.19,890,0,11,0,162.5,0,250,2990,0,131802
1492,Gujarat-4-13-4,108,2.64,1747.334,0,21,0,357.5,0,520,6624,0,164208
1493,Gujarat-4-13-5,361,9.36,6823.335,0,0,59,1253.7,0,1850,26096,0,5255740
1494,Gujarat-4-13-6,326,8.4,5570.333,0,0,49,1249.5,0,2100,24240,0,3914204
1495,Gujarat-4-13-7,167,4.32,3222.333,0,0,25.5,585,0,1500,12112,0,2463834
1496,Gujarat-4-13-8,129,3.12,2474.333,0,24,0,455,0,1040,9888,0,407250
1497,Gujarat-4-13-9,349,8.67,6583.668,0,0,59,1202.5,0,1950,24980,0,7457060
1498,Gujarat-4-14-3,10,0.24,273.334,8,1,0,44.7,0,0,3680,0,50488
1499,Gujarat-4-14-8,9.6,0.24,264,3,0,9,44.9,0,0,4096.271,0,489675
1500,Gujarat-4-14-9,34.15,0.9,898,12,0,16,199.94,0,0,9684.158,0,2634244
1501,Gujarat-4-15-1,31.5,0.96,815,0,6.5,0,134.9,0,210,3300,0,57981
1502,Gujarat-4-15-10,314.9,8.166,5972.003,0,0,52.5,1176.7,0,2484,21749.595,0,4692590
1503,Gujarat-4-15-2,30.8,0.84,670.666,0,5,0,131.4,0,0,2584,0,126828
1504,Gujarat-4-15-3,52.6,1.44,1059.001,0,7,0,220.2,0,0,4064,0,70922
1505,Gujarat-4-15-4,104.4,2.14,1905.333,0,14.25,0,334,0,752,8384,0,330210
1506,Gujarat-4-15-5,100.1,2.16,1550.997,0,12,0,330.3,0,500,6896,0,322380
1507,Gujarat-4-15-6,185.5,3.84,2477.001,0,24,0,565.2,0,800,16728,0,145940
1508,Gujarat-4-15-7,498.6,10.54,5813.333,0,5,73,1562.24,0,2130,34890,0,7284360
1509,Gujarat-4-15-8,237,4.8,3373,0,22.5,0,734,0,1410,18680,0,92475
1510,Gujarat-4-15-9,186,3.72,2763.667,0,18.5,0,555.1,0,1173,10357.266,0,391232
1511,Gujarat-4-16-10,140.8,2.64,2100.667,0,0,40,324.5,0,2125,2040,3608,1231154
1512,Gujarat-4-16-4,33,0.6,577.333,0,15.5,0,100.5,0,500,1500,0,1967
1513,Gujarat-4-16-6,44.2,1.44,902.333,0,25.73,0,126.5,0,1300,4500,0,6148
1514,Gujarat-4-16-7,24,0.48,429.333,0,1.25,11,80.5,0,560,1500,0,468709
1515,Gujarat-4-16-8,49.4,1.68,911.333,0,3.75,33,241.5,0,1900,3720,0,876872
1516,Gujarat-4-16-9,190.6,4.44,2070.334,0,13.88,74.75,581.2,0,3890,3720,0,1926285
1517,Gujarat-4-17-1,253.9,5.56,3580.998,0,35.5,171.55,1161.8,0,12059,19115.349,0,810375
1518,Gujarat-4-17-10,641.3,14.44,11534.329,0,85.5,303.5,3553.3,0,45791,48871.029,0,12509770
1519,Gujarat-4-17-2,97.35,2.16,1571,0,44.25,18.75,472.5,0,4216,3540,0,7440
1520,Gujarat-4-17-3,134,2.52,1739,0,51.25,16.25,618.5,0,8817,3110,0,308400
1521,Gujarat-4-17-4,141,3,2766,0,62.75,47,785.34,0,7996,4180,0,626340
1522,Gujarat-4-17-5,280.75,6.22,4382.999,0,118,57.25,1280.1,0,13661,5644,0,909143
1523,Gujarat-4-17-6,262.85,6.12,4865.669,0,40.7,276.75,1452.7,0,17812,9640,0,9288438
1524,Gujarat-4-17-7,425.65,9.4,8653.665,0,63.25,191.25,1887.4,0,22286,13295.206,0,7482400
1525,Gujarat-4-17-8,387.6,8.48,6668,0,59.5,235,2356.6,0,34066,32235.887,0,1625286
1526,Gujarat-4-17-9,534.55,12.44,9624.668,0,80.9,248.5,3029.1,0,40851,16246.223,0,21316041
1527,Gujarat-4-21-10,39.8,0.82,782.999,0,2.99,8.66,155.42,0,0,4198.003,0,2705068
1528,Gujarat-4-21-4,12,0.24,233.666,0,4,0,40,0,0,720,0,202952
1529,Gujarat-4-21-5,16.5,0.36,393.001,0,1.5,10.75,77.82,0,0,5240,0,1077987
1530,Gujarat-4-21-7,62.2,1.3,1222.667,0,0,27.33,217.42,0,0,12510.865,0,1658076
1531,Gujarat-4-21-9,18.2,0.38,306.333,0,0,6,64.5,0,0,880,0,899202
1532,Gujarat-4-23-8,16,0.22,229,0,4,1,23,0,80,1039.251,0,25480
1533,Gujarat-5-26-1,96,1.44,680.334,0,22.29,0,431,0,4790,900,0,9760
1534,Gujarat-5-26-10,470,8.28,3140.999,0,30,99.05,1713.5,0,14200,43347.061,0,2998317
1535,Gujarat-5-26-2,67.6,1.2,470,0,17,0,338.8,0,800,750,0,5074
1536,Gujarat-5-26-3,203.4,2.64,1040.334,0,7.05,34.5,671,0,2000,1650,0,691430
1537,Gujarat-5-26-4,502.4,6.96,2773.667,0,68,0,2346.5,750,22248,29402.46,0,177200
1538,Gujarat-5-26-5,593.8,8.32,3349.666,0,118.45,0,2268,110,18880,7578.354,0,238270
1539,Gujarat-5-26-6,133.6,2.4,1047,0,35.3,0,704,50,3320,1480,400,6694
1540,Gujarat-5-26-7,572.4,9.12,3542.332,0,30.65,99.75,3477,270,25836,66423.862,350,3688968
1541,Gujarat-5-26-8,176.4,2.88,1198,0,45.35,0,1255,75,6450,38766.306,0,230922
1542,Gujarat-5-26-9,1115,21.12,8533.999,0,53.05,220.8,5628.5,205,30000,186351.999,5353,6281280
1543,Gujarat-8-54-10,102,1.68,717.333,0,28.5,0,232,72,1350,7622.126,0,17517
1544,Gujarat-8-54-3,108.8,1.92,501.333,0,22.9,0,298.5,0,1800,9680,0,317
1545,Gujarat-8-54-4,158,2.88,498,0,5.5,23.5,411.5,0,5990,9586.312,0,121612
1546,Gujarat-8-54-5,68,1.2,205,0,2.5,14.35,192.5,0,4420,3837.275,0,72148
1547,Gujarat-8-54-6,27.2,0.48,148.333,0,6.25,0,67.4,0,450,1410.065,0,5995
1548,Gujarat-8-54-7,70,1.2,446,0,2.5,17.45,187.5,0,900,5469.878,0,198997
1549,Haryana-1-1-10,36,0.8,344.083,0,2,8,156,0,1560,4070,0,265466
1550,Haryana-1-5-10,216,4.8,2453.333,0,0,68,947.5,0,0,18305.154,0,264468
1551,Haryana-1-5-2,14,0.4,229.333,0,4,0,55,0,0,1374.051,0,10224
1552,Haryana-1-5-4,24,0.6,318.567,0,0,6.3,82.5,0,0,1934.011,0,680408
1553,Haryana-1-5-5,54,1.2,654.6,0,0,15,237.68,0,0,4436.688,0,627945
1554,Haryana-1-5-6,76.8,1.6,634,0,0,18,312,0,0,6771.051,0,556927
1555,Haryana-1-5-7,96,2.4,1238.333,0,0,27,468,0,0,7781.774,0,67368
1556,Haryana-1-5-8,96,2.2,1161.833,0,0,25,429,0,0,6714.714,0,554434
1557,Haryana-1-5-9,171,3.8,1881.333,0,0,44,718,0,0,9857.577,0,69354
1558,Haryana-2-11-5,26,0.8,493.333,0,0,14,120,0,0,6045.271,0,232908
1559,Haryana-2-12-1,14,0.4,196,0,8.5,0,88,0,1350,4120,0,14090
1560,Haryana-2-12-10,73,2,956.5,0,14.5,51,447.5,0,10340,8908,0,506718
1561,Haryana-2-12-2,16,0.4,206.667,0,8,0,88,0,1350,3824,0,13592
1562,Haryana-2-12-3,14,0.3,148.167,0,3.5,4,61.5,0,1500,37,0,411129
1563,Haryana-2-12-4,26,0.6,342,0,5,8,132,0,2940,4367,0,21275
1564,Haryana-2-12-5,78,2,1363.333,0,16,22,447.32,0,6605,15198,0,450398
1565,Haryana-2-12-6,17,0.4,174.833,0,9,0,55,0,3160,850,0,1147
1566,Haryana-2-12-7,79,1.9,1338,0,31,0,337.6,0,10430,14223,0,37494
1567,Haryana-2-12-8,110,2.7,1940,0,52.5,0,510,0,9935,18250.21,0,34209
1568,Haryana-2-12-9,57,1.5,983.5,0,8,18,358.4,0,5480,10103,0,181912
1569,Haryana-2-13-10,14,0.4,232.33,0,8,0,32,0,910,522.439,0,50512
1570,Haryana-2-15-1,8.2,0.2,188.333,3,3,0,39,0,0,4534,0,52521
1571,Haryana-2-15-10,238,6,3563.333,0,0,85,986,0,2800,56706.5,0,383252
1572,Haryana-2-15-3,18.8,0.4,320,0,7,0,55,0,380,7992,0,51497
1573,Haryana-2-15-4,34,0.8,527,0,0,13,120,0,0,7298,0,435032
1574,Haryana-2-15-5,30,0.8,570.667,0,13,0,133,0,800,7629.933,0,33830
1575,Haryana-2-15-6,125,3,1774.333,0,0,45,454,0,2800,25092,0,219108
1576,Haryana-2-15-7,166,3.9,2716.667,0,0,68,702,0,4000,38335.961,0,445600
1577,Haryana-2-15-8,35,1,552.666,0,0,17,172,0,450,6736,0,404790
1578,Haryana-2-15-9,58,1.4,908.333,0,0,23,211,0,1200,4428,0,411560
1579,Haryana-2-16-1,30,0.5,307.67,6,3,0,133.12,0,780,12439.738,0,616636.625
1580,Haryana-2-16-10,865,11.4,4230,0,30,72,3173.1,0,32275,86718.067,0,587332
1581,Haryana-2-16-3,78,1.2,688.333,0,3,9,338.76,0,2835,21292.924,0,375787
1582,Haryana-2-16-4,120,1.6,708,0,4,16,490.4,0,3060,11334.129,0,610580
1583,Haryana-2-16-6,210,2.8,1595,0,8,32,789.8,0,5425,20967.797,0,949310
1584,Haryana-2-16-7,320,4,1827,0,10,44,1069.6,0,7750,31703.117,0,646779
1585,Haryana-2-16-8,224,3.2,1645.333,0,8,35,895.68,0,4200,22131.795,0,499045
1586,Haryana-2-16-9,452.4,5.8,2454,0,15,58,1614.62,0,11180,48492.402,0,854019
1587,Haryana-2-17-10,120,4,1940,0,0,69,1010,0,0,56980,0,1217634
1588,Haryana-2-17-2,18,0.6,436.666,0,0,13,151.5,0,0,8288,0,399235
1589,Haryana-2-17-3,16,0.5,317.333,0,9,0,107.06,0,0,7891.951,0,31490
1590,Haryana-2-17-4,30,1.2,788,0,21,0,303,0,0,24463.907,0,175742
1591,Haryana-2-17-5,28,0.8,595,0,0,21,202,0,0,14800,0,435825
1592,Haryana-2-17-6,60,2,986,0,0,38,505,0,0,29600,0,672925
1593,Haryana-2-17-7,42,2,1142,0,33,0,505,0,0,36633.15,0,284238
1594,Haryana-2-17-8,26,1,549,0,0,24,252.5,0,0,16133.31,0,473256
1595,Haryana-2-17-9,128,4.4,2152,0,0,72,1111,0,0,54806.224,0,1585526
1596,Haryana-2-9-1,40,0.8,166.75,0,10,0,156,0,600,1300,0,2690
1597,Haryana-2-9-10,390,7.8,1317,0,111,0,1928,0,17160,6715.135,0,21419
1598,Haryana-2-9-2,40,0.8,176.083,0,10,0,156,0,600,1300,0,5240
1599,Haryana-2-9-3,86.4,1.8,282,0,2.5,19.5,420,0,3960,3592,0,574864
1600,Haryana-2-9-4,90,1.8,285.5,0,2.5,19.5,404,0,3960,3666,0,645567
1601,Haryana-2-9-5,150,3,456.25,0,4,37,654,0,6600,5407,0,656580
1602,Haryana-2-9-6,150,3,471.5,0,4,37,654,0,6600,5340.09,0,507988
1603,Haryana-2-9-7,195,3.9,625.75,0,5,52,964,0,8580,6134.577,0,494918
1604,Haryana-2-9-8,200,4,632.917,0,5,54,964,0,8800,5149.313,0,499061
1605,Haryana-2-9-9,330,6.6,1059.25,0,17,86,1432,0,14520,6094.958,0,498348
1606,Haryana-3-19-1,15,0.4,327,0,8,0,89.5,0,960,4621.9,0,129956
1607,Haryana-3-19-10,312,7.8,4654.6,0,19.3,142,1896,0,21905,7994.618,0,705630
