DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
1981,Karnataka-6-36-6,20,0.6,418.667,16,8,40,55,13,0,0,767
1983,Karnataka-7-37-1,26,0.4,126.33,0,15,25,49.6,45,160,0,21272
1984,Karnataka-7-37-10,78.75,1.8,1094,32,12,120,380,0,2550,0,115308
1985,Karnataka-7-37-2,11,0.32,206,8,6,25,20,0,250,0,1844
1986,Karnataka-7-37-3,16.5,0.44,192,8,3,10,71.5,0,500,0,1844
1987,Karnataka-7-37-4,128.5,2.18,855.67,0,12.3,50,319.34,0,3830,0,3688
1988,Karnataka-7-37-5,37.5,0.95,293,16,10,20,79,0,375,0,1844
1989,Karnataka-7-37-6,116,2.2,1172.333,24,30,75,361.5,0,5140,0,16104
1990,Karnataka-7-37-7,32,0.8,292,16,13.25,20,163,0,650,0,4482
1991,Karnataka-7-37-8,341,6.63,3109.999,104,4,285,1340.2,0,12530,0,13446
1993,Karnataka-7-38-3,51,0.8,462.667,0,6,54,196.5,0,4500,0,86473
1995,Karnataka-9-43-1,12,0.39,420,68,0,30,55,0,800,0,72840.211
1997,Karnataka-9-43-2,25,0.8,620,86,0,60,110,0,800,0,62703
2000,Karnataka-9-43-5,8,1.2,540,146,0,90,0,0,0,0,81866
2005,Karnataka-9-44-10,10,1.6,978,48,13,100,230,80,2140,0,116794
2006,Karnataka-9-44-3,24,0.8,514,8,2,50,40,80,1150,0,46194.754
2008,Karnataka-9-44-5,15,0.8,412.334,0,15,50,117,80,250,0,6798
2009,Karnataka-9-44-6,12,1.99,616.334,40,19,175,220,140,0,0,43374.285
2010,Karnataka-9-44-7,32,1.2,571,16,14,75,166,80,1825,0,5120
2011,Karnataka-9-44-8,20,0.8,346.667,16,2,50,64,80,600,0,7810.5
2012,Karnataka-9-44-9,15,1,436.666,0,10,50,63,40,1055,0,4308
2013,Karnataka-9-45-2,45,0.8,539.333,16,11,65,198,0,1000,0,3216
2015,Karnataka-9-45-8,10,1.34,657,56,10,150,289,0,0,0,1936
2016,Kerala-1-1-1,37,0.71,299.167,0,6.5,90,140.2,2.3,4530,0,615
2017,Kerala-1-1-10,250,4.45,1458,33,36.25,550,832.7,19,15396,0,1724
2018,Kerala-1-1-3,48,0.9,342.999,0,8.25,109.5,183.7,0,6240,0,1065
2019,Kerala-1-1-4,75,1.21,294,9,7.5,150,227.1,0,4988,40,691
2020,Kerala-1-1-5,151.5,2.04,856.416,0,20.25,245,620.4,0,8012,75,1652
2021,Kerala-1-1-6,58.8,1.97,1092.501,0,22.25,245,513.52,2.45,13188,0,2065
2022,Kerala-1-1-7,87.5,1.42,345.833,10.5,8.75,175,264.95,0,5778,34,796
2023,Kerala-1-1-8,113,1.62,618.167,12,14,200,332,4,5253,0,978
2024,Kerala-1-1-9,243.1,4.47,2099.5,13.5,35.5,552.5,1105.065,4.65,24745,0,571600
2025,Kerala-1-2-1,33,0.6,192.333,0,4.45,80,152.2,0,1830,0,452.5
2026,Kerala-1-2-10,370.4,6.2,2161.832,0,54.8,852,1388.6,0,7680,0,7440
2027,Kerala-1-2-2,32.9,0.54,209.667,0,4.4,75,126.252,0,1755,0,890
2028,Kerala-1-2-3,54,0.8,264.667,0,6.5,110,164,0,2600,0,687.5
2029,Kerala-1-2-4,60,0.8,268,0,6.5,110,188.3,0,1000,0,610
2030,Kerala-1-2-5,119,1.88,544,0,15.5,258,408.8,0,3132,0,572.5
2031,Kerala-1-2-6,120,2,566,0,17.5,270,478,0,5940,0,617.5
2032,Kerala-1-2-7,146.8,2.48,813.667,0,21.25,348,591.4,0,7545,0,2265
2033,Kerala-1-2-8,195,3.2,884,0,26,440,778.6,0,9760,0,767.5
2034,Kerala-1-2-9,245,4,1163.333,0,32.5,550,946,0,5000,0,915
2035,Kerala-1-3-1,14,0.33,59.333,0,2,35,132,0,764,0,256
2036,Kerala-1-3-10,202,4.11,555,0,26,450,1710,0,12900,0,556
2037,Kerala-1-3-2,19,0.4,93.667,0,3,45,97.3,0,5420,0,248
2038,Kerala-1-3-3,50,1.02,175.667,0,8,100,451.8,0,8470,0,290
2039,Kerala-1-3-4,57,1.42,386.5,0,15.25,155,318.56,0,5295,0,780
2040,Kerala-1-3-5,23,0.64,149.667,0,4.5,70,131.2,0,963,0,588
2041,Kerala-1-3-6,132.5,3.66,723.667,0,22.5,380,1203.9,0,13678,0,620
2042,Kerala-1-3-7,137,3.66,719.333,0,23.3,425,1269.18,0,21510,0,1126
2043,Kerala-1-3-9,89,2.04,279.583,0,19.75,225,890.5,0,12250,0,252
2050,Kerala-1-5-1,11.1,0.44,201.333,0,3.5,40,6.8,1.75,0,0,56990
2051,Kerala-1-5-10,32.5,1.38,433.333,0,13,130,24,2.5,0,0,27100
2052,Kerala-1-5-2,5.6,0.25,95.334,0,2,20,10,2.6,0,0,28480
2053,Kerala-1-5-3,8.6,0.3,140,0,2,22,8,2,0,0,15470
2054,Kerala-1-5-4,2.6,0.1,43.667,0,0.5,10,3.2,1.5,0,0,36995
